---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  1.015e+00  [0 1.000e+00 1.000e+00 3.029e-04]  [5 -17 81]
 NS 1-2  1.970e+00  [-67 4.182e-04 4.182e-04 1.944e-04]  [4 -17 80]
 NS 1-3  2.855e+00  [-140 9.342e-08 9.342e-08 2.773e-04]  [4 -16 78]
 NS 1-4  3.581e+00  [-210 2.830e-11 2.830e-11 3.082e-04]  [4 -16 75]
 NS 1-5  4.110e+00  [-250 3.103e-13 3.103e-13 2.321e-04]  [3 -16 62]
 NS 2-1  4.831e+00  [0 1.000e+00 3.417e+01 2.095e-04]  [3 -16 75]
 NS 2-2  5.602e+00  [-73 2.111e-04 7.211e-03 2.628e-04]  [4 -17 74]
 NS 2-3  6.408e+00  [-144 6.254e-08 2.137e-06 2.279e-04]  [4 -18 76]
 NS 2-4  7.205e+00  [-216 1.585e-11 5.414e-10 2.605e-04]  [4 -16 76]
 NS 2-5s 7.960e+00  [-283 6.534e-15 2.232e-13 2.598e-04]  [4 -15 75]
 NS 3-1  8.960e+00  [0 1.000e+00 3.406e+01 4.268e-04]  [3 -17 46]
 NS 3-2  9.744e+00  [-67 4.280e-04 1.458e-02 2.386e-04]  [4 -17 74]
 NS 3-3  1.054e+01  [-137 1.360e-07 4.631e-06 2.326e-04]  [4 -16 75]
 NS 3-4  1.133e+01  [-208 3.842e-11 1.309e-09 2.841e-04]  [4 -16 75]
 NS 3-5  1.203e+01  [-271 2.800e-14 9.537e-13 7.644e-04]  [3 -16 71]
 NS 4-1  1.256e+01  [0 1.000e+00 4.072e+01 9.437e-04]  [2 -18 67]
 NS 4-2  1.335e+01  [-60 9.441e-04 3.845e-02 2.910e-04]  [4 -18 76]
 NS 4-3  1.412e+01  [-128 3.947e-07 1.608e-05 2.006e-04]  [4 -18 76]
 NS 4-4  1.491e+01  [-197 1.285e-10 5.233e-09 2.204e-04]  [4 -16 77]
 NS 4-5s 1.573e+01  [-266 4.962e-14 2.021e-12 2.047e-04]  [4 -17 76]
 NS 5-1  1.669e+01  [0 1.000e+00 4.889e+01 2.506e-04]  [3 -17 46]
 NS 5-2  1.748e+01  [-71 2.514e-04 1.229e-02 2.533e-04]  [4 -19 75]
 NS 5-3  1.817e+01  [-136 1.444e-07 7.060e-06 9.246e-04]  [3 -17 73]
 NS 5-4  1.899e+01  [-197 1.391e-10 6.801e-09 2.804e-04]  [4 -17 79]
 NS 5-5  1.968e+01  [-258 1.137e-13 5.559e-12 8.837e-04]  [3 -17 72]
 NS 6-1  2.019e+01  [0 1.000e+00 6.250e+01 6.149e-04]  [2 -15 64]
 NS 6-2  2.098e+01  [-64 6.168e-04 3.855e-02 2.666e-04]  [4 -16 76]
 NS 6-3  2.158e+01  [-123 6.687e-07 4.180e-05 6.747e-04]  [3 -18 70]
 NS 6-4  2.235e+01  [-185 5.192e-10 3.245e-08 2.477e-04]  [4 -17 74]
 NS 6-5s 2.304e+01  [-247 4.436e-13 2.772e-11 7.361e-04]  [3 -16 70]
 NS 7-1  2.391e+01  [0 1.000e+00 8.049e+01 6.462e-04]  [2 -15 40]
 NS 7-2  2.471e+01  [-63 6.461e-04 5.200e-02 2.651e-04]  [4 -17 76]
 NS 7-3  2.536e+01  [-122 7.566e-07 6.089e-05 5.643e-04]  [3 -18 70]
 NS 7-4  2.612e+01  [-184 5.749e-10 4.627e-08 2.082e-04]  [4 -18 74]
 NS 7-5  2.680e+01  [-244 5.769e-13 4.643e-11 8.148e-04]  [3 -16 69]
 NS 8-1  2.734e+01  [0 1.000e+00 9.919e+01 3.154e-04]  [2 -18 63]
 NS 8-2  2.814e+01  [-69 3.177e-04 3.151e-02 2.423e-04]  [4 -17 78]
 NS 8-3  2.876e+01  [-127 4.031e-07 3.998e-05 5.822e-04]  [3 -17 72]
 NS 8-4  2.957e+01  [-188 3.847e-10 3.816e-08 1.975e-04]  [4 -17 77]
 NS 8-5s 3.028e+01  [-246 4.945e-13 4.905e-11 6.526e-04]  [3 -17 71]
 NS 9-1  3.113e+01  [0 1.000e+00 1.206e+02 3.922e-04]  [2 -17 39]
 NS 9-2  3.192e+01  [-68 3.929e-04 4.737e-02 2.699e-04]  [4 -16 76]
 NS 9-3  3.256e+01  [-124 5.862e-07 7.067e-05 6.041e-04]  [3 -18 70]
 NS 9-4  3.326e+01  [-183 6.374e-10 7.684e-08 9.794e-04]  [3 -17 71]
 NS 9-5  3.410e+01  [-238 1.135e-12 1.368e-10 1.996e-04]  [4 -18 76]
 NS 10-1  3.466e+01  [0 1.000e+00 1.418e+02 3.118e-04]  [2 -18 65]
 NS 10-2  3.528e+01  [-70 3.141e-04 4.456e-02 9.911e-04]  [3 -18 72]
 NS 10-3  3.588e+01  [-124 5.646e-07 8.008e-05 9.627e-04]  [3 -17 70]
 NS 10-4  3.671e+01  [-181 8.879e-10 1.259e-07 1.868e-04]  [4 -18 76]
 NS 10-5s 3.736e+01  [-236 1.462e-12 2.074e-10 5.579e-04]  [3 -16 67]
 NS 11-1  3.822e+01  [0 1.000e+00 1.645e+02 3.310e-04]  [2 -18 41]
 NS 11-2  3.900e+01  [-69 3.333e-04 5.481e-02 2.291e-04]  [4 -16 75]
