---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  6.760e-01  [0 1.000e+00 1.000e+00 3.735e-04]  [5 -17 80]
 NS 1-2  1.251e+00  [-63 6.944e-04 6.944e-04 2.018e-04]  [4 -17 75]
 NS 1-3  1.831e+00  [-134 1.803e-07 1.803e-07 2.577e-04]  [4 -17 77]
 NS 1-4  2.391e+00  [-204 6.088e-11 6.088e-11 2.993e-04]  [4 -17 76]
 NS 1-5  2.826e+00  [-249 3.548e-13 3.548e-13 2.724e-04]  [3 -17 67]
 NS 2-1  3.310e+00  [0 1.000e+00 3.757e+01 2.638e-04]  [3 -16 72]
 NS 2-2  3.886e+00  [-71 2.680e-04 1.007e-02 2.765e-04]  [4 -16 76]
 NS 2-3  4.464e+00  [-141 8.886e-08 3.338e-06 2.569e-04]  [4 -17 76]
 NS 2-4  5.023e+00  [-211 2.692e-11 1.011e-09 2.470e-04]  [4 -15 76]
 NS 2-5  5.562e+00  [-281 8.778e-15 3.298e-13 2.673e-04]  [4 -17 73]
 NS 3-1  6.047e+00  [0 1.000e+00 3.660e+01 4.782e-04]  [3 -16 72]
 NS 3-2  6.618e+00  [-66 4.810e-04 1.760e-02 2.454e-04]  [4 -17 76]
 NS 3-3  7.199e+00  [-135 1.625e-07 5.946e-06 2.326e-04]  [4 -17 77]
 NS 3-4  7.769e+00  [-206 4.967e-11 1.818e-09 2.716e-04]  [4 -15 76]
 NS 3-5  8.244e+00  [-270 2.827e-14 1.034e-12 9.609e-04]  [3 -16 69]
 NS 4-1  8.725e+00  [0 1.000e+00 4.433e+01 2.168e-04]  [3 -16 72]
 NS 4-2  9.298e+00  [-72 2.322e-04 1.029e-02 3.362e-04]  [4 -17 76]
 NS 4-3  9.871e+00  [-138 1.211e-07 5.370e-06 3.009e-04]  [4 -17 76]
 NS 4-4  1.042e+01  [-204 5.932e-11 2.630e-09 2.041e-04]  [4 -16 75]
 NS 4-5  1.091e+01  [-268 3.761e-14 1.667e-12 8.026e-04]  [3 -16 70]
 NS 5-1  1.140e+01  [0 1.000e+00 5.109e+01 2.758e-04]  [3 -16 72]
 NS 5-2  1.197e+01  [-71 2.786e-04 1.423e-02 2.497e-04]  [4 -19 76]
 NS 5-3  1.255e+01  [-135 1.652e-07 8.438e-06 2.054e-04]  [4 -17 77]
 NS 5-4  1.313e+01  [-202 7.934e-11 4.053e-09 2.137e-04]  [4 -16 76]
 NS 5-5s 1.371e+01  [-263 6.950e-14 3.551e-12 1.942e-04]  [4 -17 75]
 NS 6-1  1.439e+01  [0 1.000e+00 6.609e+01 6.274e-04]  [2 -15 38]
 NS 6-2  1.496e+01  [-64 6.306e-04 4.168e-02 2.513e-04]  [4 -16 76]
 NS 6-3  1.544e+01  [-121 8.096e-07 5.351e-05 6.543e-04]  [3 -17 72]
 NS 6-4  1.600e+01  [-183 6.714e-10 4.437e-08 2.673e-04]  [4 -17 75]
 NS 6-5  1.658e+01  [-242 7.232e-13 4.780e-11 2.107e-04]  [4 -16 75]
 NS 7-1  1.697e+01  [0 1.000e+00 8.446e+01 6.609e-04]  [2 -15 65]
 NS 7-2  1.754e+01  [-63 6.611e-04 5.584e-02 2.583e-04]  [4 -17 76]
 NS 7-3  1.803e+01  [-119 1.080e-06 9.121e-05 5.401e-04]  [3 -17 72]
 NS 7-4  1.861e+01  [-180 9.571e-10 8.084e-08 1.963e-04]  [4 -17 77]
 NS 7-5  1.909e+01  [-236 1.584e-12 1.338e-10 8.888e-04]  [3 -17 70]
 NS 8-1  1.948e+01  [0 1.000e+00 1.043e+02 3.094e-04]  [2 -18 66]
 NS 8-2  2.005e+01  [-70 3.151e-04 3.286e-02 2.553e-04]  [4 -17 76]
 NS 8-3  2.054e+01  [-127 4.364e-07 4.551e-05 6.435e-04]  [3 -16 72]
 NS 8-4  2.111e+01  [-186 4.481e-10 4.673e-08 1.905e-04]  [4 -17 77]
 NS 8-5  2.161e+01  [-243 6.360e-13 6.633e-11 6.705e-04]  [3 -16 70]
 NS 9-1  2.200e+01  [0 1.000e+00 1.266e+02 3.914e-04]  [2 -17 65]
 NS 9-2  2.257e+01  [-68 3.943e-04 4.992e-02 2.712e-04]  [4 -16 76]
 NS 9-3  2.306e+01  [-122 7.830e-07 9.912e-05 7.208e-04]  [3 -17 72]
 NS 9-4  2.364e+01  [-179 1.119e-09 1.417e-07 1.803e-04]  [4 -17 77]
 NS 9-5  2.412e+01  [-229 3.189e-12 4.037e-10 7.865e-04]  [3 -17 69]
 NS 10-1  2.451e+01  [0 1.000e+00 1.489e+02 3.060e-04]  [2 -18 65]
 NS 10-2  2.507e+01  [-70 3.127e-04 4.657e-02 1.961e-04]  [4 -17 76]
 NS 10-3  2.556e+01  [-126 4.843e-07 7.212e-05 7.768e-04]  [3 -17 72]
 NS 10-4  2.613e+01  [-181 8.567e-10 1.276e-07 1.864e-04]  [4 -17 76]
 NS 10-5s 2.656e+01  [-231 2.650e-12 3.947e-10 6.721e-04]  [3 -16 66]
 NS 11-1  2.722e+01  [0 1.000e+00 1.726e+02 3.271e-04]  [2 -17 39]
 NS 11-2  2.779e+01  [-69 3.339e-04 5.765e-02 2.380e-04]  [4 -16 76]
 NS 11-3  2.828e+01  [-122 7.488e-07 1.293e-04 7.914e-04]  [3 -17 72]
 NS 11-4  2.877e+01  [-176 1.510e-09 2.607e-07 9.351e-04]  [3 -17 72]
 NS 11-5  2.936e+01  [-224 5.705e-12 9.848e-10 1.794e-04]  [4 -18 75]
 NS 12-1  2.975e+01  [0 1.000e+00 1.962e+02 3.060e-04]  [2 -18 65]
 NS 12-2  3.032e+01  [-70 3.160e-04 6.202e-02 2.116e-04]  [4 -17 76]
 NS 12-3  3.081e+01  [-122 7.441e-07 1.460e-04 7.745e-04]  [3 -17 72]
 NS 12-4  3.130e+01  [-175 1.721e-09 3.377e-07 8.725e-04]  [3 -17 72]
 NS 12-5  3.180e+01  [-223 6.949e-12 1.364e-09 9.547e-04]  [3 -17 71]
 NS 13-1  3.219e+01  [0 1.000e+00 2.204e+02 3.080e-04]  [2 -17 66]
 NS 13-2  3.277e+01  [-69 3.200e-04 7.053e-02 2.190e-04]  [4 -16 76]
 NS 13-3  3.326e+01  [-120 9.069e-07 1.999e-04 7.716e-04]  [3 -17 72]
 NS 13-4  3.375e+01  [-172 2.372e-09 5.229e-07 8.182e-04]  [3 -17 73]
 NS 13-5  3.425e+01  [-219 1.048e-11 2.310e-09 9.036e-04]  [3 -17 71]
 NS 14-1  3.465e+01  [0 1.000e+00 2.445e+02 3.013e-04]  [2 -18 66]
 NS 14-2  3.521e+01  [-69 3.166e-04 7.740e-02 2.126e-04]  [4 -17 76]
 NS 14-3  3.570e+01  [-119 1.003e-06 2.453e-04 7.555e-04]  [3 -17 72]
 NS 14-4  3.620e+01  [-170 2.951e-09 7.216e-07 7.596e-04]  [3 -17 73]
 NS 14-5  3.670e+01  [-216 1.426e-11 3.487e-09 7.798e-04]  [3 -17 71]
 NS 15-1  3.710e+01  [0 1.000e+00 2.687e+02 3.002e-04]  [2 -17 66]
 NS 15-2  3.767e+01  [-69 3.186e-04 8.559e-02 2.117e-04]  [4 -17 76]
 NS 15-3  3.816e+01  [-118 1.155e-06 3.102e-04 7.507e-04]  [3 -17 72]
 NS 15-4  3.866e+01  [-168 3.795e-09 1.020e-06 7.052e-04]  [3 -17 73]
 NS 15-5s 3.916e+01  [-213 2.035e-11 5.467e-09 7.043e-04]  [3 -17 71]
 NS 16-1  3.982e+01  [0 1.000e+00 2.927e+02 2.977e-04]  [2 -18 39]
 NS 16-2  4.039e+01  [-69 3.198e-04 9.360e-02 2.094e-04]  [4 -17 76]
 NS 16-3  4.088e+01  [-117 1.300e-06 3.806e-04 7.438e-04]  [3 -17 72]
 NS 16-4  4.137e+01  [-166 4.733e-09 1.385e-06 6.608e-04]  [3 -17 72]
 NS 16-5  4.188e+01  [-211 2.804e-11 8.207e-09 6.211e-04]  [3 -16 71]
 NS 17-1  4.227e+01  [0 1.000e+00 3.165e+02 2.969e-04]  [2 -18 65]
 NS 17-2  4.285e+01  [-69 3.230e-04 1.022e-01 2.085e-04]  [4 -17 76]
 NS 17-3  4.333e+01  [-116 1.471e-06 4.656e-04 7.396e-04]  [3 -17 72]
 NS 17-4  4.383e+01  [-164 5.905e-09 1.869e-06 6.231e-04]  [3 -17 72]
 NS 17-5  4.433e+01  [-208 3.867e-11 1.224e-08 5.616e-04]  [3 -16 71]
 NS 18-1  4.472e+01  [0 1.000e+00 3.401e+02 2.959e-04]  [2 -18 65]
 NS 18-2  4.529e+01  [-69 3.266e-04 1.111e-01 2.076e-04]  [4 -17 76]
 NS 18-3  4.578e+01  [-115 1.652e-06 5.618e-04 7.373e-04]  [3 -17 72]
 NS 18-4  4.627e+01  [-162 7.294e-09 2.481e-06 5.941e-04]  [3 -17 72]
 NS 18-5  4.677e+01  [-205 5.269e-11 1.792e-08 5.231e-04]  [3 -16 71]
 NS 19-1  4.716e+01  [0 1.000e+00 3.634e+02 2.967e-04]  [2 -17 65]
 NS 19-2  4.773e+01  [-69 3.321e-04 1.207e-01 2.049e-04]  [4 -17 77]
 NS 19-3  4.821e+01  [-114 1.851e-06 6.727e-04 7.306e-04]  [3 -17 72]
 NS 19-4  4.871e+01  [-160 8.955e-09 3.254e-06 5.557e-04]  [3 -17 72]
 NS 19-5  4.921e+01  [-202 7.215e-11 2.622e-08 5.015e-04]  [3 -16 71]
 NS 20-1  4.960e+01  [0 1.000e+00 3.863e+02 2.960e-04]  [2 -18 65]
 NS 20-2  5.017e+01  [-69 3.368e-04 1.301e-01 2.072e-04]  [4 -17 76]
 NS 20-3  5.066e+01  [-113 2.071e-06 8.002e-04 7.318e-04]  [3 -17 72]
 NS 20-4  5.115e+01  [-159 1.101e-08 4.255e-06 5.369e-04]  [3 -17 72]
 NS 20-5s 5.165e+01  [-200 9.743e-11 3.764e-08 4.958e-04]  [3 -16 71]
 NS 21-1  5.230e+01  [0 1.000e+00 4.089e+02 2.964e-04]  [2 -18 39]
 NS 21-2  5.288e+01  [-69 3.429e-04 1.402e-01 2.076e-04]  [4 -17 77]
 NS 21-3  5.337e+01  [-112 2.307e-06 9.433e-04 7.317e-04]  [3 -17 71]
 NS 21-4  5.385e+01  [-157 1.342e-08 5.488e-06 5.145e-04]  [3 -16 72]
 NS 21-5  5.435e+01  [-197 1.315e-10 5.376e-08 5.030e-04]  [3 -16 70]
 NS 22-1  5.474e+01  [0 1.000e+00 4.310e+02 2.972e-04]  [2 -18 66]
 NS 22-2  5.532e+01  [-69 3.496e-04 1.507e-01 2.080e-04]  [4 -17 76]
 NS 22-3  5.580e+01  [-111 2.562e-06 1.104e-03 7.304e-04]  [3 -17 72]
 NS 22-4  5.629e+01  [-155 1.623e-08 6.993e-06 4.968e-04]  [3 -16 72]
 NS 22-5  5.677e+01  [-195 1.757e-10 7.572e-08 5.110e-04]  [3 -16 70]
 NS 23-1  5.716e+01  [0 1.000e+00 4.526e+02 2.983e-04]  [2 -18 65]
 NS 23-2  5.773e+01  [-68 3.570e-04 1.616e-01 2.086e-04]  [4 -17 76]
 NS 23-3  5.820e+01  [-110 2.835e-06 1.283e-03 7.289e-04]  [3 -17 72]
 NS 23-4  5.869e+01  [-154 1.950e-08 8.824e-06 4.802e-04]  [3 -16 72]
 NS 23-5  5.917e+01  [-192 2.319e-10 1.050e-07 5.186e-04]  [3 -16 70]
 NS 24-1  5.956e+01  [0 1.000e+00 4.738e+02 2.996e-04]  [2 -18 65]
 NS 24-2  6.013e+01  [-68 3.649e-04 1.729e-01 2.097e-04]  [4 -17 76]
 NS 24-3  6.062e+01  [-110 3.126e-06 1.481e-03 7.295e-04]  [3 -17 72]
 NS 24-4  6.111e+01  [-152 2.326e-08 1.102e-05 4.670e-04]  [3 -16 72]
 NS 24-5  6.160e+01  [-190 3.029e-10 1.435e-07 5.303e-04]  [3 -16 70]
 NS 25-1  6.199e+01  [0 1.000e+00 4.944e+02 3.011e-04]  [2 -18 65]
 NS 25-2  6.256e+01  [-68 3.733e-04 1.845e-01 2.099e-04]  [4 -17 76]
 NS 25-3  6.304e+01  [-109 3.440e-06 1.701e-03 7.269e-04]  [3 -17 71]
 NS 25-4  6.350e+01  [-151 2.764e-08 1.367e-05 5.113e-04]  [3 -15 71]
 NS 25-5s 6.394e+01  [-188 3.928e-10 1.942e-07 5.744e-04]  [3 -16 67]
 NS 26-1  6.460e+01  [0 1.000e+00 5.145e+02 3.028e-04]  [2 -18 38]
 NS 26-2  6.516e+01  [-68 3.821e-04 1.966e-01 2.100e-04]  [4 -17 76]
 NS 26-3  6.564e+01  [-108 3.759e-06 1.934e-03 7.288e-04]  [3 -17 72]
 NS 26-4  6.609e+01  [-149 3.242e-08 1.668e-05 4.975e-04]  [3 -15 69]
 NS 26-5  6.654e+01  [-186 4.983e-10 2.564e-07 5.824e-04]  [3 -16 68]
 NS 27-1  6.693e+01  [0 1.000e+00 5.340e+02 3.047e-04]  [2 -17 65]
 NS 27-2  6.750e+01  [-68 3.913e-04 2.090e-01 2.122e-04]  [4 -17 76]
 NS 27-3  6.798e+01  [-107 4.118e-06 2.199e-03 7.288e-04]  [3 -17 72]
 NS 27-4  6.843e+01  [-148 3.807e-08 2.033e-05 4.656e-04]  [3 -16 70]
 NS 27-5  6.888e+01  [-183 6.315e-10 3.372e-07 5.780e-04]  [3 -17 68]
 NS 28-1  6.926e+01  [0 1.000e+00 5.529e+02 3.068e-04]  [2 -17 65]
 NS 28-2  6.984e+01  [-67 4.010e-04 2.217e-01 2.131e-04]  [4 -17 77]
 NS 28-3  7.032e+01  [-106 4.487e-06 2.481e-03 7.299e-04]  [3 -17 72]
 NS 28-4  7.076e+01  [-147 4.427e-08 2.448e-05 4.443e-04]  [3 -16 69]
 NS 28-5  7.120e+01  [-182 7.875e-10 4.354e-07 5.894e-04]  [3 -17 67]
 NS 29-1  7.159e+01  [0 1.000e+00 5.712e+02 3.090e-04]  [2 -17 65]
 NS 29-2  7.216e+01  [-67 4.109e-04 2.347e-01 2.144e-04]  [4 -17 76]
 NS 29-3  7.261e+01  [-106 4.872e-06 2.783e-03 7.468e-04]  [3 -17 70]
 NS 29-4  7.306e+01  [-145 5.115e-08 2.922e-05 4.566e-04]  [3 -16 70]
 NS 29-5  7.348e+01  [-180 9.688e-10 5.534e-07 5.957e-04]  [3 -17 66]
 NS 30-1  7.387e+01  [0 1.000e+00 5.889e+02 3.114e-04]  [2 -17 65]
 NS 30-2  7.444e+01  [-67 4.212e-04 2.480e-01 2.158e-04]  [4 -17 76]
 NS 30-3  7.488e+01  [-105 5.270e-06 3.103e-03 7.386e-04]  [3 -17 69]
 NS 30-4  7.533e+01  [-144 5.862e-08 3.452e-05 4.238e-04]  [3 -16 70]
 NS 30-5s 7.580e+01  [-178 1.183e-09 6.965e-07 6.269e-04]  [3 -17 69]
 NS 31-1  7.646e+01  [0 1.000e+00 6.059e+02 3.138e-04]  [2 -17 39]
 NS 31-2  7.703e+01  [-67 4.316e-04 2.615e-01 2.171e-04]  [4 -17 76]
 NS 31-3  7.745e+01  [-104 5.695e-06 3.451e-03 7.318e-04]  [3 -17 67]
 NS 31-4  7.790e+01  [-143 6.708e-08 4.065e-05 4.153e-04]  [3 -16 71]
 NS 31-5  7.833e+01  [-176 1.437e-09 8.705e-07 6.245e-04]  [3 -17 66]
 NS 32-1  7.872e+01  [0 1.000e+00 6.223e+02 3.165e-04]  [2 -17 65]
 NS 32-2  7.930e+01  [-67 4.424e-04 2.753e-01 2.185e-04]  [4 -17 77]
 NS 32-3  7.972e+01  [-104 6.137e-06 3.819e-03 7.292e-04]  [3 -17 68]
 NS 32-4  8.016e+01  [-142 7.634e-08 4.751e-05 4.202e-04]  [3 -16 69]
 NS 32-5  8.059e+01  [-175 1.727e-09 1.075e-06 6.415e-04]  [3 -17 66]
 NS 33-1  8.099e+01  [0 1.000e+00 6.380e+02 3.192e-04]  [2 -17 66]
 NS 33-2  8.156e+01  [-66 4.533e-04 2.892e-01 2.199e-04]  [4 -17 76]
 NS 33-3  8.200e+01  [-103 6.598e-06 4.209e-03 7.282e-04]  [3 -17 69]
 NS 33-4  8.244e+01  [-141 8.645e-08 5.516e-05 4.266e-04]  [3 -16 69]
 NS 33-5  8.287e+01  [-173 2.057e-09 1.312e-06 6.611e-04]  [3 -17 66]
 NS 34-1  8.326e+01  [0 1.000e+00 6.530e+02 3.221e-04]  [2 -17 66]
 NS 34-2  8.384e+01  [-66 4.644e-04 3.033e-01 2.215e-04]  [4 -17 76]
 NS 34-3  8.430e+01  [-103 7.076e-06 4.621e-03 7.295e-04]  [3 -17 71]
 NS 34-4  8.479e+01  [-140 9.743e-08 6.362e-05 3.896e-04]  [3 -16 72]
 NS 34-5  8.526e+01  [-172 2.432e-09 1.588e-06 6.387e-04]  [3 -17 69]
 NS 35-1  8.565e+01  [0 1.000e+00 6.673e+02 3.250e-04]  [2 -17 65]
 NS 35-2  8.623e+01  [-66 4.756e-04 3.174e-01 2.230e-04]  [4 -17 77]
 NS 35-3  8.669e+01  [-102 7.575e-06 5.054e-03 7.314e-04]  [3 -17 70]
 NS 35-4  8.718e+01  [-139 1.094e-07 7.298e-05 3.835e-04]  [3 -16 72]
 NS 35-5s 8.765e+01  [-170 2.855e-09 1.905e-06 6.436e-04]  [3 -17 69]
 NS 36-1  8.830e+01  [0 1.000e+00 6.808e+02 3.280e-04]  [2 -17 39]
 NS 36-2  8.888e+01  [-66 4.870e-04 3.316e-01 2.245e-04]  [4 -17 76]
 NS 36-3  8.935e+01  [-101 8.091e-06 5.509e-03 7.344e-04]  [3 -17 71]
 NS 36-4  8.984e+01  [-138 1.223e-07 8.325e-05 3.774e-04]  [3 -16 72]
 NS 36-5  9.031e+01  [-169 3.329e-09 2.266e-06 6.480e-04]  [3 -17 69]
 NS 37-1  9.070e+01  [0 1.000e+00 6.937e+02 3.311e-04]  [2 -17 65]
 NS 37-2  9.128e+01  [-66 4.985e-04 3.458e-01 2.261e-04]  [4 -16 76]
 NS 37-3  9.175e+01  [-101 8.626e-06 5.984e-03 7.394e-04]  [3 -17 71]
 NS 37-4  9.223e+01  [-137 1.362e-07 9.449e-05 3.725e-04]  [3 -16 71]
