---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  1.038e+00  [0 1.000e+00 1.000e+00 2.797e-04]  [5 -17 83]
 NS 1-2  1.941e+00  [-68 3.900e-04 3.900e-04 2.151e-04]  [4 -17 79]
 NS 1-3  2.863e+00  [-140 9.684e-08 9.684e-08 2.727e-04]  [4 -17 79]
 NS 1-4  3.683e+00  [-210 2.880e-11 2.880e-11 2.775e-04]  [4 -15 76]
 NS 1-5  4.296e+00  [-250 3.134e-13 3.134e-13 2.173e-04]  [3 -17 70]
 NS 2-1  4.908e+00  [0 1.000e+00 3.584e+01 9.987e-04]  [2 -16 70]
 NS 2-2  5.796e+00  [-60 9.995e-04 3.583e-02 2.312e-04]  [4 -18 78]
 NS 2-3  6.694e+00  [-131 2.677e-07 9.595e-06 2.130e-04]  [4 -18 79]
 NS 2-4  7.606e+00  [-203 6.334e-11 2.270e-09 2.572e-04]  [4 -16 79]
 NS 2-5s 8.430e+00  [-274 1.826e-14 6.544e-13 3.120e-04]  [4 -15 76]
 NS 3-1  9.536e+00  [0 1.000e+00 3.559e+01 3.954e-04]  [3 -17 51]
 NS 3-2  1.044e+01  [-68 3.966e-04 1.411e-02 2.070e-04]  [4 -17 79]
 NS 3-3  1.135e+01  [-138 1.172e-07 4.171e-06 2.430e-04]  [4 -17 79]
 NS 3-4  1.208e+01  [-209 3.526e-11 1.255e-09 2.855e-04]  [4 -16 74]
 NS 3-5  1.278e+01  [-273 2.102e-14 7.482e-13 9.042e-04]  [3 -17 71]
 NS 4-1  1.343e+01  [0 1.000e+00 4.279e+01 8.762e-04]  [2 -18 70]
 NS 4-2  1.434e+01  [-61 8.763e-04 3.750e-02 2.748e-04]  [4 -18 80]
 NS 4-3  1.526e+01  [-128 3.592e-07 1.537e-05 1.911e-04]  [4 -18 80]
 NS 4-4  1.619e+01  [-199 1.095e-10 4.685e-09 2.213e-04]  [4 -17 80]
 NS 4-5s 1.697e+01  [-267 4.314e-14 1.846e-12 2.459e-04]  [4 -16 75]
 NS 5-1  1.800e+01  [0 1.000e+00 5.052e+01 2.417e-04]  [3 -17 49]
 NS 5-2  1.885e+01  [-72 2.424e-04 1.225e-02 2.351e-04]  [4 -18 78]
 NS 5-3  1.959e+01  [-137 1.404e-07 7.094e-06 9.757e-04]  [3 -17 74]
 NS 5-4  2.031e+01  [-196 1.425e-10 7.198e-09 2.671e-04]  [4 -17 74]
 NS 5-5  2.102e+01  [-259 1.094e-13 5.528e-12 7.811e-04]  [3 -17 72]
 NS 6-1  2.157e+01  [0 1.000e+00 6.488e+01 5.876e-04]  [2 -15 66]
 NS 6-2  2.240e+01  [-64 5.897e-04 3.826e-02 2.596e-04]  [4 -15 78]
 NS 6-3  2.305e+01  [-124 5.834e-07 3.785e-05 7.501e-04]  [3 -18 71]
 NS 6-4  2.385e+01  [-186 4.923e-10 3.194e-08 2.650e-04]  [4 -17 77]
 NS 6-5s 2.451e+01  [-247 4.413e-13 2.863e-11 8.539e-04]  [3 -16 69]
 NS 7-1  2.542e+01  [0 1.000e+00 8.317e+01 6.413e-04]  [2 -15 44]
