---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  1.037e+00  [0 1.000e+00 1.000e+00 2.842e-04]  [5 -17 78]
 NS 1-2  1.989e+00  [-68 3.866e-04 3.866e-04 1.930e-04]  [4 -17 80]
 NS 1-3  2.880e+00  [-141 8.894e-08 8.894e-08 2.731e-04]  [4 -16 71]
 NS 1-4  3.641e+00  [-211 2.716e-11 2.716e-11 2.851e-04]  [4 -15 76]
 NS 1-5  4.254e+00  [-249 3.377e-13 3.377e-13 1.959e-04]  [3 -17 58]
 NS 2-1  4.953e+00  [0 1.000e+00 3.539e+01 2.018e-04]  [3 -17 74]
 NS 2-2  5.751e+00  [-73 2.031e-04 7.189e-03 2.421e-04]  [4 -17 77]
 NS 2-3  6.593e+00  [-145 5.547e-08 1.963e-06 2.279e-04]  [4 -18 79]
 NS 2-4  7.410e+00  [-216 1.455e-11 5.149e-10 2.562e-04]  [4 -16 71]
 NS 2-5s 8.114e+00  [-283 6.813e-15 2.411e-13 2.477e-04]  [4 -15 72]
 NS 3-1  9.115e+00  [0 1.000e+00 3.510e+01 4.148e-04]  [3 -17 49]
 NS 3-2  9.901e+00  [-67 4.158e-04 1.460e-02 2.061e-04]  [4 -17 79]
 NS 3-3  1.070e+01  [-138 1.203e-07 4.223e-06 2.191e-04]  [4 -17 79]
 NS 3-4  1.144e+01  [-208 3.613e-11 1.268e-09 2.517e-04]  [4 -16 76]
 NS 3-5  1.207e+01  [-274 1.969e-14 6.911e-13 9.526e-04]  [3 -16 71]
 NS 4-1  1.260e+01  [0 1.000e+00 4.228e+01 9.209e-04]  [2 -18 66]
 NS 4-2  1.336e+01  [-60 9.209e-04 3.893e-02 2.614e-04]  [4 -18 77]
 NS 4-3  1.410e+01  [-128 3.653e-07 1.545e-05 2.206e-04]  [4 -18 76]
 NS 4-4  1.486e+01  [-198 1.245e-10 5.263e-09 2.322e-04]  [4 -17 78]
 NS 4-5s 1.570e+01  [-265 5.360e-14 2.266e-12 2.562e-04]  [4 -16 77]
 NS 5-1  1.684e+01  [0 1.000e+00 4.947e+01 2.523e-04]  [3 -17 50]
 NS 5-2  1.774e+01  [-71 2.528e-04 1.251e-02 2.322e-04]  [4 -18 73]
 NS 5-3  1.850e+01  [-136 1.453e-07 7.189e-06 9.508e-04]  [3 -17 65]
 NS 5-4  1.923e+01  [-196 1.450e-10 7.175e-09 2.765e-04]  [4 -17 77]
 NS 5-5  1.990e+01  [-258 1.129e-13 5.585e-12 8.376e-04]  [3 -17 72]
 NS 6-1  2.040e+01  [0 1.000e+00 6.365e+01 6.059e-04]  [2 -15 66]
 NS 6-2  2.112e+01  [-64 6.081e-04 3.870e-02 2.404e-04]  [4 -15 74]
 NS 6-3  2.178e+01  [-124 5.953e-07 3.789e-05 7.046e-04]  [3 -18 74]
 NS 6-4  2.253e+01  [-186 4.927e-10 3.136e-08 2.515e-04]  [4 -17 77]
 NS 6-5s 2.320e+01  [-246 4.560e-13 2.902e-11 7.852e-04]  [3 -16 72]
 NS 7-1  2.400e+01  [0 1.000e+00 8.142e+01 6.545e-04]  [2 -15 37]
 NS 7-2  2.472e+01  [-63 6.545e-04 5.328e-02 2.430e-04]  [4 -17 75]
 NS 7-3  2.534e+01  [-123 6.894e-07 5.613e-05 6.180e-04]  [3 -18 71]
 NS 7-4  2.607e+01  [-184 5.772e-10 4.699e-08 2.080e-04]  [4 -17 77]
 NS 7-5  2.674e+01  [-244 5.984e-13 4.872e-11 7.272e-04]  [3 -16 72]
 NS 8-1  2.724e+01  [0 1.000e+00 1.005e+02 3.127e-04]  [2 -18 64]
 NS 8-2  2.800e+01  [-70 3.150e-04 3.167e-02 2.284e-04]  [4 -17 75]
 NS 8-3  2.867e+01  [-128 3.885e-07 3.906e-05 5.627e-04]  [3 -17 74]
 NS 8-4  2.939e+01  [-188 3.961e-10 3.982e-08 1.910e-04]  [4 -17 75]
 NS 8-5s 3.003e+01  [-246 4.730e-13 4.755e-11 6.240e-04]  [3 -16 70]
 NS 9-1  3.088e+01  [0 1.000e+00 1.220e+02 3.948e-04]  [2 -17 41]
 NS 9-2  3.168e+01  [-68 3.956e-04 4.827e-02 2.464e-04]  [4 -17 78]
 NS 9-3  3.233e+01  [-124 5.709e-07 6.966e-05 6.003e-04]  [3 -18 74]
 NS 9-4  3.303e+01  [-183 6.569e-10 8.016e-08 1.723e-04]  [4 -18 75]
 NS 9-5  3.371e+01  [-240 9.454e-13 1.154e-10 6.096e-04]  [3 -16 73]
 NS 10-1  3.423e+01  [0 1.000e+00 1.436e+02 3.113e-04]  [2 -18 67]
 NS 10-2  3.481e+01  [-70 3.136e-04 4.504e-02 9.972e-04]  [3 -19 71]
 NS 10-3  3.549e+01  [-124 5.841e-07 8.389e-05 8.865e-04]  [3 -17 74]
 NS 10-4  3.627e+01  [-181 8.592e-10 1.234e-07 1.984e-04]  [4 -18 78]
 NS 10-5s 3.692e+01  [-236 1.552e-12 2.228e-10 5.571e-04]  [3 -16 71]
 NS 11-1  3.775e+01  [0 1.000e+00 1.665e+02 3.320e-04]  [2 -17 39]
 NS 11-2  3.850e+01  [-69 3.342e-04 5.563e-02 2.148e-04]  [4 -17 76]
 NS 11-3  3.916e+01  [-123 6.485e-07 1.080e-04 5.425e-04]  [3 -17 72]
 NS 11-4  3.975e+01  [-179 1.051e-09 1.750e-07 8.720e-04]  [3 -18 70]
 NS 11-5  4.041e+01  [-232 2.287e-12 3.806e-10 8.712e-04]  [3 -17 72]
 NS 12-1  4.092e+01  [0 1.000e+00 1.893e+02 3.113e-04]  [2 -18 66]
 NS 12-2  4.165e+01  [-70 3.147e-04 5.957e-02 1.978e-04]  [4 -17 75]
 NS 12-3  4.228e+01  [-123 7.072e-07 1.339e-04 4.989e-04]  [3 -17 73]
 NS 12-4  4.292e+01  [-177 1.319e-09 2.498e-07 8.084e-04]  [3 -18 73]
 NS 12-5s 4.361e+01  [-229 3.401e-12 6.437e-10 7.461e-04]  [3 -17 73]
 NS 13-1  4.446e+01  [0 1.000e+00 2.126e+02 3.133e-04]  [2 -18 41]
 NS 13-2  4.519e+01  [-69 3.173e-04 6.747e-02 2.037e-04]  [4 -17 77]
 NS 13-3  4.583e+01  [-121 8.385e-07 1.783e-04 5.026e-04]  [3 -17 73]
 NS 13-4  4.647e+01  [-175 1.772e-09 3.768e-07 7.701e-04]  [3 -18 72]
 NS 13-5  4.709e+01  [-225 5.245e-12 1.115e-09 7.110e-04]  [3 -17 70]
 NS 14-1  4.758e+01  [0 1.000e+00 2.359e+02 3.069e-04]  [2 -18 62]
 NS 14-2  4.837e+01  [-70 3.120e-04 7.359e-02 1.993e-04]  [4 -17 77]
 NS 14-3  4.898e+01  [-120 9.513e-07 2.244e-04 4.871e-04]  [3 -17 72]
 NS 14-4  4.962e+01  [-172 2.262e-09 5.337e-07 7.361e-04]  [3 -17 73]
 NS 14-5s 5.027e+01  [-222 7.869e-12 1.856e-09 6.875e-04]  [3 -17 70]
 NS 15-1  5.112e+01  [0 1.000e+00 2.592e+02 3.059e-04]  [2 -18 41]
 NS 15-2  5.187e+01  [-70 3.120e-04 8.089e-02 2.001e-04]  [4 -17 77]
 NS 15-3  5.250e+01  [-119 1.095e-06 2.839e-04 4.878e-04]  [3 -17 72]
 NS 15-4  5.311e+01  [-170 2.900e-09 7.518e-07 7.108e-04]  [3 -17 70]
 NS 15-5  5.376e+01  [-218 1.174e-11 3.044e-09 6.831e-04]  [3 -16 70]
 NS 16-1  5.432e+01  [0 1.000e+00 2.824e+02 3.036e-04]  [2 -18 68]
 NS 16-2  5.513e+01  [-70 3.110e-04 8.782e-02 1.991e-04]  [4 -17 79]
 NS 16-3  5.573e+01  [-118 1.244e-06 3.513e-04 4.837e-04]  [3 -17 73]
 NS 16-4  5.641e+01  [-168 3.646e-09 1.030e-06 6.866e-04]  [3 -17 74]
 NS 16-5s 5.712e+01  [-215 1.720e-11 4.856e-09 6.826e-04]  [3 -16 74]
 NS 17-1  5.797e+01  [0 1.000e+00 3.054e+02 3.029e-04]  [2 -18 41]
 NS 17-2  5.876e+01  [-70 3.116e-04 9.518e-02 1.994e-04]  [4 -17 78]
 NS 17-3  5.939e+01  [-117 1.412e-06 4.312e-04 4.863e-04]  [3 -17 71]
 NS 17-4  6.010e+01  [-166 4.539e-09 1.386e-06 6.621e-04]  [3 -17 75]
 NS 17-5  6.077e+01  [-212 2.477e-11 7.565e-09 6.814e-04]  [3 -16 73]
 NS 18-1  6.124e+01  [0 1.000e+00 3.282e+02 3.022e-04]  [2 -18 65]
 NS 18-2  6.202e+01  [-70 3.124e-04 1.025e-01 1.994e-04]  [4 -17 77]
 NS 18-3  6.260e+01  [-115 1.590e-06 5.219e-04 4.892e-04]  [3 -17 69]
 NS 18-4  6.325e+01  [-165 5.575e-09 1.830e-06 6.354e-04]  [3 -17 72]
 NS 18-5s 6.389e+01  [-209 3.498e-11 1.148e-08 6.770e-04]  [3 -16 70]
 NS 19-1  6.471e+01  [0 1.000e+00 3.507e+02 3.027e-04]  [2 -18 40]
 NS 19-2  6.545e+01  [-70 3.145e-04 1.103e-01 1.987e-04]  [4 -17 76]
 NS 19-3  6.603e+01  [-114 1.780e-06 6.242e-04 4.943e-04]  [3 -17 69]
 NS 19-4  6.666e+01  [-163 6.757e-09 2.370e-06 6.099e-04]  [3 -17 71]
 NS 19-5  6.730e+01  [-206 4.818e-11 1.690e-08 6.692e-04]  [3 -16 69]
 NS 20-1  6.780e+01  [0 1.000e+00 3.729e+02 3.024e-04]  [2 -18 64]
 NS 20-2  6.850e+01  [-70 3.159e-04 1.178e-01 2.004e-04]  [4 -17 76]
 NS 20-3  6.911e+01  [-114 1.985e-06 7.402e-04 5.018e-04]  [3 -17 71]
 NS 20-4  6.977e+01  [-161 8.103e-09 3.021e-06 5.923e-04]  [3 -16 74]
 NS 20-5s 7.039e+01  [-203 6.594e-11 2.459e-08 6.621e-04]  [3 -16 70]
 NS 21-1  7.135e+01  [0 1.000e+00 3.946e+02 3.030e-04]  [2 -18 42]
 NS 21-2  7.212e+01  [-69 3.183e-04 1.256e-01 2.011e-04]  [4 -17 75]
 NS 21-3  7.286e+01  [-113 2.200e-06 8.684e-04 5.137e-04]  [3 -17 67]
 NS 21-4  7.360e+01  [-160 9.595e-09 3.786e-06 5.797e-04]  [3 -16 72]
 NS 21-5  7.431e+01  [-201 8.743e-11 3.450e-08 6.568e-04]  [3 -16 74]
 NS 22-1  7.485e+01  [0 1.000e+00 4.160e+02 3.039e-04]  [2 -18 69]
 NS 22-2  7.558e+01  [-69 3.211e-04 1.336e-01 2.020e-04]  [4 -17 77]
 NS 22-3  7.617e+01  [-112 2.426e-06 1.009e-03 5.230e-04]  [3 -17 71]
 NS 22-4  7.682e+01  [-158 1.125e-08 4.680e-06 5.735e-04]  [3 -16 71]
 NS 22-5s 7.746e+01  [-198 1.144e-10 4.758e-08 6.548e-04]  [3 -16 70]
 NS 23-1  7.831e+01  [0 1.000e+00 4.369e+02 3.051e-04]  [2 -18 42]
 NS 23-2  7.907e+01  [-69 3.243e-04 1.417e-01 2.020e-04]  [4 -17 76]
 NS 23-3  7.972e+01  [-111 2.662e-06 1.163e-03 5.329e-04]  [3 -17 73]
 NS 23-4  8.037e+01  [-157 1.311e-08 5.730e-06 5.725e-04]  [3 -16 73]
 NS 23-5  8.100e+01  [-196 1.475e-10 6.446e-08 6.563e-04]  [3 -16 69]
 NS 24-1  8.148e+01  [0 1.000e+00 4.574e+02 3.065e-04]  [2 -18 63]
 NS 24-2  8.222e+01  [-69 3.277e-04 1.499e-01 2.044e-04]  [4 -17 74]
 NS 24-3  8.278e+01  [-110 2.909e-06 1.330e-03 5.404e-04]  [3 -17 70]
 NS 24-4  8.346e+01  [-156 1.524e-08 6.970e-06 5.721e-04]  [3 -16 76]
 NS 24-5s 8.416e+01  [-194 1.882e-10 8.606e-08 6.590e-04]  [3 -16 73]
 NS 25-1  8.500e+01  [0 1.000e+00 4.773e+02 3.082e-04]  [2 -18 39]
 NS 25-2  8.574e+01  [-69 3.315e-04 1.582e-01 2.057e-04]  [4 -17 76]
 NS 25-3  8.638e+01  [-109 3.166e-06 1.511e-03 5.463e-04]  [3 -17 71]
 NS 25-4  8.702e+01  [-155 1.765e-08 8.425e-06 5.710e-04]  [3 -16 71]
 NS 25-5  8.766e+01  [-192 2.373e-10 1.133e-07 6.616e-04]  [3 -16 70]
 NS 26-1  8.819e+01  [0 1.000e+00 4.967e+02 3.101e-04]  [2 -18 67]
 NS 26-2  8.896e+01  [-69 3.355e-04 1.666e-01 2.072e-04]  [4 -17 77]
 NS 26-3  8.953e+01  [-109 3.437e-06 1.707e-03 5.502e-04]  [3 -17 70]
 NS 26-4  9.015e+01  [-153 2.042e-08 1.014e-05 5.684e-04]  [3 -16 73]
 NS 26-5s 9.082e+01  [-190 2.965e-10 1.473e-07 6.622e-04]  [3 -16 72]
 NS 27-1  9.167e+01  [0 1.000e+00 5.156e+02 3.121e-04]  [2 -18 42]
 NS 27-2  9.236e+01  [-69 3.397e-04 1.751e-01 2.091e-04]  [4 -17 75]
 NS 27-3  9.302e+01  [-108 3.715e-06 1.915e-03 5.530e-04]  [3 -17 73]
 NS 27-4  9.370e+01  [-152 2.352e-08 1.212e-05 5.645e-04]  [3 -16 74]
 NS 27-5  9.437e+01  [-188 3.656e-10 1.885e-07 6.613e-04]  [3 -16 71]
 NS 28-1  9.492e+01  [0 1.000e+00 5.339e+02 3.142e-04]  [2 -18 66]
 NS 28-2  9.577e+01  [-69 3.441e-04 1.837e-01 2.104e-04]  [4 -17 79]
 NS 28-3  9.640e+01  [-107 4.003e-06 2.137e-03 5.811e-04]  [3 -16 72]
 NS 28-4  9.696e+01  [-151 2.699e-08 1.441e-05 5.720e-04]  [3 -16 72]
 NS 28-5s 9.762e+01  [-187 4.465e-10 2.384e-07 6.609e-04]  [3 -16 71]
 NS 29-1  9.850e+01  [0 1.000e+00 5.516e+02 3.165e-04]  [2 -18 45]
 NS 29-2  9.929e+01  [-69 3.486e-04 1.923e-01 2.126e-04]  [4 -17 77]
 NS 29-3  9.987e+01  [-107 4.302e-06 2.373e-03 5.749e-04]  [3 -16 69]
 NS 29-4  1.005e+02  [-150 3.083e-08 1.700e-05 5.642e-04]  [3 -16 71]
 NS 29-5  1.013e+02  [-185 5.394e-10 2.975e-07 6.578e-04]  [3 -16 72]
