---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  1.245e+00  [0 1.000e+00 1.000e+00 2.732e-04]  [5 -17 84]
 NS 1-2  2.162e+00  [-67 3.986e-04 3.986e-04 9.576e-04]  [3 -16 78]
 NS 1-3  3.087e+00  [-128 3.845e-07 3.845e-07 2.066e-04]  [4 -20 80]
 NS 1-4  4.114e+00  [-200 9.095e-11 9.095e-11 2.803e-04]  [4 -17 80]
 NS 1-5  4.798e+00  [-249 3.333e-13 3.333e-13 3.025e-04]  [3 -17 69]
 NS 2-1  5.601e+00  [0 1.000e+00 3.529e+01 1.927e-04]  [3 -17 75]
 NS 2-2  6.639e+00  [-74 1.944e-04 6.860e-03 2.467e-04]  [4 -17 81]
 NS 2-3  7.699e+00  [-145 5.465e-08 1.929e-06 2.208e-04]  [4 -18 81]
 NS 2-4  8.823e+00  [-216 1.434e-11 5.060e-10 2.403e-04]  [4 -16 83]
 NS 2-5s 9.781e+00  [-285 5.506e-15 1.943e-13 2.200e-04]  [4 -16 78]
 NS 3-1  1.101e+01  [0 1.000e+00 3.477e+01 3.935e-04]  [3 -17 54]
 NS 3-2  1.200e+01  [-68 3.948e-04 1.373e-02 2.054e-04]  [4 -17 80]
 NS 3-3  1.293e+01  [-138 1.164e-07 4.048e-06 2.271e-04]  [4 -17 80]
 NS 3-4  1.398e+01  [-209 3.481e-11 1.210e-09 2.527e-04]  [4 -16 81]
 NS 3-5  1.473e+01  [-274 1.936e-14 6.733e-13 8.855e-04]  [3 -16 72]
 NS 4-1  1.542e+01  [0 1.000e+00 4.224e+01 8.910e-04]  [2 -18 72]
 NS 4-2  1.643e+01  [-61 8.911e-04 3.764e-02 2.608e-04]  [4 -18 80]
 NS 4-3  1.742e+01  [-129 3.546e-07 1.498e-05 2.080e-04]  [4 -18 80]
 NS 4-4  1.862e+01  [-198 1.172e-10 4.949e-09 2.307e-04]  [4 -16 84]
 NS 4-5s 1.967e+01  [-266 4.542e-14 1.918e-12 2.364e-04]  [4 -17 81]
 NS 5-1  2.079e+01  [0 1.000e+00 4.841e+01 2.426e-04]  [3 -17 52]
 NS 5-2  2.169e+01  [-72 2.435e-04 1.179e-02 2.285e-04]  [4 -18 79]
 NS 5-3  2.248e+01  [-137 1.409e-07 6.821e-06 8.660e-04]  [3 -17 73]
 NS 5-4  2.352e+01  [-197 1.302e-10 6.305e-09 3.192e-04]  [4 -17 80]
 NS 5-5  2.454e+01  [-258 1.182e-13 5.721e-12 2.349e-04]  [4 -15 79]
 NS 6-1  2.510e+01  [0 1.000e+00 6.269e+01 6.021e-04]  [2 -15 66]
 NS 6-2  2.611e+01  [-64 6.046e-04 3.790e-02 2.422e-04]  [4 -15 81]
 NS 6-3  2.695e+01  [-124 6.230e-07 3.905e-05 7.334e-04]  [3 -18 75]
 NS 6-4  2.790e+01  [-185 5.280e-10 3.310e-08 2.667e-04]  [4 -17 79]
 NS 6-5s 2.868e+01  [-246 4.900e-13 3.072e-11 8.383e-04]  [3 -16 72]
 NS 7-1  2.964e+01  [0 1.000e+00 7.970e+01 6.497e-04]  [2 -15 43]
 NS 7-2  3.063e+01  [-63 6.496e-04 5.178e-02 2.287e-04]  [4 -17 79]
 NS 7-3  3.147e+01  [-122 7.246e-07 5.775e-05 5.523e-04]  [3 -18 77]
 NS 7-4  3.252e+01  [-184 5.872e-10 4.680e-08 2.049e-04]  [4 -17 81]
 NS 7-5  3.337e+01  [-243 6.647e-13 5.298e-11 8.555e-04]  [3 -16 76]
 NS 8-1  3.403e+01  [0 1.000e+00 9.861e+01 3.008e-04]  [2 -18 71]
 NS 8-2  3.500e+01  [-70 3.034e-04 2.992e-02 2.327e-04]  [4 -17 79]
 NS 8-3  3.575e+01  [-128 3.912e-07 3.857e-05 5.436e-04]  [3 -16 72]
 NS 8-4  3.667e+01  [-188 3.826e-10 3.773e-08 1.933e-04]  [4 -17 78]
 NS 8-5s 3.750e+01  [-244 5.751e-13 5.671e-11 6.867e-04]  [3 -16 75]
 NS 9-1  3.855e+01  [0 1.000e+00 1.195e+02 3.839e-04]  [2 -17 51]
 NS 9-2  3.962e+01  [-68 3.847e-04 4.599e-02 2.402e-04]  [4 -17 82]
 NS 9-3  4.048e+01  [-124 5.723e-07 6.841e-05 5.437e-04]  [3 -17 80]
 NS 9-4  4.138e+01  [-183 6.476e-10 7.740e-08 9.657e-04]  [3 -17 79]
 NS 9-5  4.242e+01  [-238 1.194e-12 1.427e-10 2.493e-04]  [4 -16 80]
 NS 10-1  4.302e+01  [0 1.000e+00 1.407e+02 2.981e-04]  [2 -18 69]
 NS 10-2  4.402e+01  [-70 3.008e-04 4.234e-02 1.908e-04]  [4 -17 79]
 NS 10-3  4.468e+01  [-126 4.691e-07 6.603e-05 5.179e-04]  [3 -17 70]
 NS 10-4  4.550e+01  [-183 6.621e-10 9.319e-08 9.403e-04]  [3 -18 75]
 NS 10-5s 4.639e+01  [-236 1.557e-12 2.192e-10 2.024e-04]  [4 -16 76]
 NS 11-1  4.735e+01  [0 1.000e+00 1.631e+02 3.196e-04]  [2 -18 45]
