---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  1.221e+00  [0 1.000e+00 1.000e+00 2.843e-04]  [5 -17 85]
 NS 1-2  2.176e+00  [-67 4.316e-04 4.316e-04 9.367e-04]  [3 -17 80]
 NS 1-3  3.344e+00  [-127 4.082e-07 4.082e-07 2.298e-04]  [4 -19 82]
 NS 1-4  4.317e+00  [-199 1.042e-10 1.042e-10 2.566e-04]  [4 -15 79]
 NS 1-5  5.133e+00  [-249 3.542e-13 3.542e-13 3.087e-04]  [3 -18 75]
 NS 2-1  5.865e+00  [0 1.000e+00 3.620e+01 9.935e-04]  [2 -16 74]
 NS 2-2  6.981e+00  [-60 9.946e-04 3.600e-02 2.290e-04]  [4 -18 81]
 NS 2-3  8.121e+00  [-131 2.702e-07 9.783e-06 1.951e-04]  [4 -18 83]
 NS 2-4  9.226e+00  [-204 6.053e-11 2.191e-09 2.325e-04]  [4 -16 82]
 NS 2-5s 1.019e+01  [-275 1.640e-14 5.938e-13 2.456e-04]  [4 -16 78]
 NS 3-1  1.153e+01  [0 1.000e+00 3.566e+01 3.964e-04]  [3 -17 59]
 NS 3-2  1.254e+01  [-68 3.981e-04 1.419e-02 2.012e-04]  [4 -18 80]
 NS 3-3  1.366e+01  [-138 1.168e-07 4.164e-06 2.124e-04]  [4 -16 83]
 NS 3-4  1.478e+01  [-209 3.406e-11 1.214e-09 2.497e-04]  [4 -16 82]
 NS 3-5  1.569e+01  [-274 1.882e-14 6.709e-13 8.514e-04]  [3 -16 76]
 NS 4-1  1.647e+01  [0 1.000e+00 4.334e+01 8.910e-04]  [2 -18 74]
 NS 4-2  1.754e+01  [-60 8.914e-04 3.863e-02 2.803e-04]  [4 -18 82]
 NS 4-3  1.857e+01  [-128 3.729e-07 1.616e-05 1.899e-04]  [4 -18 79]
 NS 4-4  1.975e+01  [-198 1.159e-10 5.024e-09 2.074e-04]  [4 -16 82]
 NS 4-5s 2.073e+01  [-266 4.475e-14 1.939e-12 2.304e-04]  [4 -16 79]
 NS 5-1  2.202e+01  [0 1.000e+00 4.949e+01 2.455e-04]  [3 -17 57]
 NS 5-2  2.312e+01  [-72 2.466e-04 1.220e-02 2.271e-04]  [4 -19 82]
 NS 5-3  2.408e+01  [-136 1.451e-07 7.182e-06 7.844e-04]  [3 -17 80]
 NS 5-4  2.521e+01  [-198 1.215e-10 6.013e-09 2.852e-04]  [4 -17 82]
 NS 5-5  2.609e+01  [-260 9.509e-14 4.706e-12 8.462e-04]  [3 -17 75]
 NS 6-1  2.675e+01  [0 1.000e+00 6.413e+01 6.075e-04]  [2 -15 70]
 NS 6-2  2.800e+01  [-64 6.100e-04 3.911e-02 2.418e-04]  [4 -16 78]
