---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  1.187e+00  [0 1.000e+00 1.000e+00 2.692e-04]  [5 -17 84]
 NS 1-2  2.176e+00  [-68 3.772e-04 3.772e-04 1.997e-04]  [4 -17 81]
 NS 1-3  3.102e+00  [-140 8.962e-08 8.962e-08 2.636e-04]  [4 -17 78]
 NS 1-4  3.879e+00  [-211 2.591e-11 2.591e-11 2.862e-04]  [4 -15 75]
 NS 1-5  4.617e+00  [-250 3.041e-13 3.041e-13 2.066e-04]  [3 -17 63]
 NS 2-1  5.284e+00  [0 1.000e+00 3.456e+01 9.988e-04]  [2 -16 58]
 NS 2-2  6.221e+00  [-60 9.997e-04 3.455e-02 2.318e-04]  [4 -18 79]
 NS 2-3  7.104e+00  [-131 2.695e-07 9.313e-06 1.979e-04]  [4 -18 77]
 NS 2-4  7.991e+00  [-204 5.978e-11 2.066e-09 2.580e-04]  [4 -16 80]
 NS 2-5s 9.008e+00  [-275 1.732e-14 5.988e-13 3.042e-04]  [4 -16 79]
 NS 3-1  1.014e+01  [0 1.000e+00 3.427e+01 3.967e-04]  [3 -17 53]
 NS 3-2  1.102e+01  [-68 3.979e-04 1.364e-02 2.003e-04]  [4 -18 78]
 NS 3-3  1.181e+01  [-138 1.140e-07 3.906e-06 2.295e-04]  [4 -16 76]
 NS 3-4  1.261e+01  [-209 3.400e-11 1.165e-09 2.956e-04]  [4 -15 76]
 NS 3-5  1.353e+01  [-274 1.908e-14 6.539e-13 1.972e-04]  [4 -16 77]
 NS 4-1  1.420e+01  [0 1.000e+00 4.128e+01 8.966e-04]  [2 -18 71]
 NS 4-2  1.515e+01  [-60 8.967e-04 3.702e-02 2.660e-04]  [4 -18 80]
 NS 4-3  1.600e+01  [-129 3.548e-07 1.465e-05 1.981e-04]  [4 -18 76]
 NS 4-4  1.709e+01  [-199 1.102e-10 4.549e-09 2.198e-04]  [4 -16 83]
 NS 4-5s 1.795e+01  [-267 4.324e-14 1.785e-12 2.119e-04]  [4 -17 77]
 NS 5-1  1.906e+01  [0 1.000e+00 4.838e+01 2.414e-04]  [3 -17 53]
