---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  6.880e-01  [0 1.000e+00 1.000e+00 2.826e-04]  [5 -17 79]
 NS 1-2  1.200e+00  [-68 3.948e-04 3.948e-04 9.561e-04]  [3 -16 71]
 NS 1-3  1.784e+00  [-128 3.799e-07 3.799e-07 2.034e-04]  [4 -20 75]
 NS 1-4  2.390e+00  [-200 9.213e-11 9.213e-11 2.581e-04]  [4 -16 76]
 NS 1-5  2.823e+00  [-249 3.293e-13 3.293e-13 3.117e-04]  [3 -17 63]
 NS 2-1  3.240e+00  [0 1.000e+00 3.647e+01 9.967e-04]  [2 -17 65]
 NS 2-2  3.839e+00  [-60 9.978e-04 3.639e-02 2.366e-04]  [4 -18 75]
 NS 2-3  4.442e+00  [-131 2.711e-07 9.887e-06 2.025e-04]  [4 -18 75]
 NS 2-4  5.037e+00  [-204 6.234e-11 2.274e-09 2.392e-04]  [4 -16 75]
 NS 2-5s 5.622e+00  [-275 1.719e-14 6.270e-13 2.810e-04]  [4 -16 73]
 NS 3-1  6.419e+00  [0 1.000e+00 3.605e+01 3.957e-04]  [3 -17 44]
 NS 3-2  7.021e+00  [-68 3.969e-04 1.431e-02 2.185e-04]  [4 -17 75]
 NS 3-3  7.619e+00  [-138 1.186e-07 4.277e-06 2.251e-04]  [4 -16 75]
 NS 3-4  8.214e+00  [-209 3.433e-11 1.238e-09 2.491e-04]  [4 -16 75]
 NS 3-5  8.655e+00  [-274 1.911e-14 6.891e-13 8.339e-04]  [3 -17 64]
 NS 4-1  9.073e+00  [0 1.000e+00 4.364e+01 8.814e-04]  [2 -18 65]
 NS 4-2  9.667e+00  [-61 8.816e-04 3.847e-02 2.728e-04]  [4 -18 75]
 NS 4-3  1.025e+01  [-128 3.585e-07 1.565e-05 1.889e-04]  [4 -18 75]
 NS 4-4  1.085e+01  [-198 1.142e-10 4.982e-09 2.137e-04]  [4 -16 75]
 NS 4-5s 1.141e+01  [-266 4.496e-14 1.962e-12 2.201e-04]  [4 -16 72]
 NS 5-1  1.220e+01  [0 1.000e+00 5.033e+01 2.429e-04]  [3 -17 45]
 NS 5-2  1.280e+01  [-72 2.435e-04 1.225e-02 2.351e-04]  [4 -19 75]
 NS 5-3  1.331e+01  [-136 1.432e-07 7.207e-06 9.004e-04]  [3 -17 71]
 NS 5-4  1.391e+01  [-197 1.368e-10 6.886e-09 2.640e-04]  [4 -17 75]
 NS 5-5  1.441e+01  [-257 1.382e-13 6.953e-12 8.590e-04]  [3 -17 68]
 NS 6-1  1.482e+01  [0 1.000e+00 6.501e+01 6.122e-04]  [2 -15 64]
 NS 6-2  1.541e+01  [-64 6.146e-04 3.996e-02 2.521e-04]  [4 -15 75]
 NS 6-3  1.593e+01  [-124 6.277e-07 4.081e-05 6.865e-04]  [3 -18 71]
 NS 6-4  1.649e+01  [-185 5.249e-10 3.412e-08 2.442e-04]  [4 -17 74]
 NS 6-5s 1.701e+01  [-246 4.902e-13 3.187e-11 8.053e-04]  [3 -16 69]
 NS 7-1  1.770e+01  [0 1.000e+00 8.282e+01 6.554e-04]  [2 -15 38]
 NS 7-2  1.829e+01  [-63 6.553e-04 5.427e-02 2.342e-04]  [4 -18 75]
 NS 7-3  1.880e+01  [-122 7.342e-07 6.081e-05 5.979e-04]  [3 -18 71]
 NS 7-4  1.939e+01  [-184 6.227e-10 5.157e-08 1.926e-04]  [4 -18 75]
 NS 7-5  1.988e+01  [-243 6.703e-13 5.551e-11 7.284e-04]  [3 -16 68]
 NS 8-1  2.029e+01  [0 1.000e+00 1.024e+02 3.062e-04]  [2 -18 64]
 NS 8-2  2.088e+01  [-70 3.086e-04 3.160e-02 2.263e-04]  [4 -17 75]
 NS 8-3  2.138e+01  [-128 3.966e-07 4.061e-05 5.326e-04]  [3 -17 71]
 NS 8-4  2.189e+01  [-187 4.232e-10 4.333e-08 9.523e-04]  [3 -17 70]
 NS 8-5s 2.249e+01  [-243 7.006e-13 7.174e-11 2.096e-04]  [4 -18 74]
