---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  1.253e+00  [0 1.000e+00 1.000e+00 2.808e-04]  [5 -17 85]
 NS 1-2  2.274e+00  [-68 3.839e-04 3.839e-04 1.975e-04]  [4 -17 81]
 NS 1-3  3.234e+00  [-141 8.737e-08 8.737e-08 2.785e-04]  [4 -16 80]
 NS 1-4  4.227e+00  [-211 2.675e-11 2.675e-11 2.840e-04]  [4 -15 80]
 NS 1-5  4.939e+00  [-249 3.162e-13 3.162e-13 2.076e-04]  [3 -17 71]
 NS 2-1  5.678e+00  [0 1.000e+00 3.534e+01 9.963e-04]  [2 -16 73]
 NS 2-2  6.646e+00  [-60 9.972e-04 3.524e-02 2.383e-04]  [4 -18 80]
 NS 2-3  7.623e+00  [-131 2.709e-07 9.572e-06 2.073e-04]  [4 -17 80]
 NS 2-4  8.676e+00  [-204 6.218e-11 2.197e-09 2.419e-04]  [4 -16 82]
 NS 2-5s 9.720e+00  [-275 1.702e-14 6.016e-13 2.781e-04]  [4 -16 81]
 NS 3-1  1.089e+01  [0 1.000e+00 3.502e+01 3.967e-04]  [3 -17 54]
 NS 3-2  1.181e+01  [-68 3.979e-04 1.393e-02 2.185e-04]  [4 -17 77]
 NS 3-3  1.294e+01  [-138 1.146e-07 4.012e-06 2.267e-04]  [4 -17 82]
 NS 3-4  1.400e+01  [-209 3.352e-11 1.174e-09 2.491e-04]  [4 -16 81]
 NS 3-5  1.476e+01  [-274 1.903e-14 6.666e-13 8.819e-04]  [3 -17 72]
 NS 4-1  1.539e+01  [0 1.000e+00 4.225e+01 8.865e-04]  [2 -18 68]
 NS 4-2  1.650e+01  [-61 8.865e-04 3.745e-02 2.744e-04]  [4 -18 82]
 NS 4-3  1.764e+01  [-129 3.422e-07 1.445e-05 2.026e-04]  [4 -18 82]
 NS 4-4  1.876e+01  [-199 1.056e-10 4.462e-09 2.127e-04]  [4 -16 82]
 NS 4-5s 1.980e+01  [-267 4.426e-14 1.870e-12 2.307e-04]  [4 -16 82]
 NS 5-1  2.086e+01  [0 1.000e+00 4.924e+01 2.421e-04]  [3 -17 51]
 NS 5-2  2.190e+01  [-72 2.427e-04 1.195e-02 2.411e-04]  [4 -19 82]
 NS 5-3  2.279e+01  [-137 1.273e-07 6.270e-06 9.867e-04]  [3 -17 78]
 NS 5-4  2.373e+01  [-197 1.318e-10 6.492e-09 2.484e-04]  [4 -18 79]
 NS 5-5  2.457e+01  [-259 1.015e-13 4.996e-12 9.018e-04]  [3 -17 76]
 NS 6-1  2.524e+01  [0 1.000e+00 6.342e+01 6.030e-04]  [2 -15 71]
 NS 6-2  2.630e+01  [-64 6.051e-04 3.837e-02 2.651e-04]  [4 -15 81]
 NS 6-3  2.720e+01  [-124 5.653e-07 3.585e-05 7.080e-04]  [3 -18 79]
 NS 6-4  2.825e+01  [-186 4.698e-10 2.979e-08 2.463e-04]  [4 -17 81]
 NS 6-5s 2.924e+01  [-248 3.786e-13 2.401e-11 8.327e-04]  [3 -16 79]
 NS 7-1  3.013e+01  [0 1.000e+00 8.102e+01 6.478e-04]  [2 -15 44]
 NS 7-2  3.099e+01  [-63 6.477e-04 5.248e-02 2.505e-04]  [4 -17 78]
