---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  7.050e-01  [0 1.000e+00 1.000e+00 2.852e-04]  [5 -17 79]
 NS 1-2  1.315e+00  [-68 3.894e-04 3.894e-04 2.143e-04]  [4 -17 75]
 NS 1-3  1.934e+00  [-140 9.555e-08 9.555e-08 2.784e-04]  [4 -17 75]
 NS 1-4  2.513e+00  [-210 2.911e-11 2.911e-11 3.127e-04]  [4 -15 74]
 NS 1-5  2.958e+00  [-250 3.114e-13 3.114e-13 2.633e-04]  [3 -16 64]
 NS 2-1  3.381e+00  [0 1.000e+00 3.527e+01 9.979e-04]  [2 -17 64]
 NS 2-2  3.991e+00  [-60 9.989e-04 3.523e-02 2.404e-04]  [4 -18 75]
 NS 2-3  4.604e+00  [-131 2.770e-07 9.769e-06 2.337e-04]  [4 -17 76]
 NS 2-4  5.200e+00  [-202 7.083e-11 2.498e-09 2.842e-04]  [4 -15 75]
 NS 2-5s 5.778e+00  [-272 2.242e-14 7.909e-13 3.084e-04]  [4 -15 72]
 NS 3-1  6.601e+00  [0 1.000e+00 3.491e+01 3.990e-04]  [3 -17 44]
 NS 3-2  7.210e+00  [-67 4.001e-04 1.397e-02 2.112e-04]  [4 -17 75]
 NS 3-3  7.828e+00  [-138 1.166e-07 4.072e-06 2.322e-04]  [4 -16 75]
 NS 3-4  8.409e+00  [-209 3.499e-11 1.222e-09 3.193e-04]  [4 -15 74]
 NS 3-5  8.984e+00  [-273 2.040e-14 7.123e-13 2.047e-04]  [4 -17 72]
 NS 4-1  9.415e+00  [0 1.000e+00 4.215e+01 8.968e-04]  [2 -18 65]
 NS 4-2  1.003e+01  [-60 8.968e-04 3.780e-02 2.804e-04]  [4 -18 75]
 NS 4-3  1.065e+01  [-128 3.628e-07 1.529e-05 2.205e-04]  [4 -18 76]
 NS 4-4  1.127e+01  [-198 1.154e-10 4.866e-09 2.253e-04]  [4 -16 75]
 NS 4-5s 1.189e+01  [-266 4.552e-14 1.919e-12 2.336e-04]  [4 -16 74]
 NS 5-1  1.270e+01  [0 1.000e+00 4.914e+01 2.446e-04]  [3 -17 45]
 NS 5-2  1.332e+01  [-72 2.451e-04 1.204e-02 2.434e-04]  [4 -18 76]
 NS 5-3  1.394e+01  [-137 1.367e-07 6.720e-06 1.935e-04]  [4 -17 76]
 NS 5-4  1.457e+01  [-206 4.593e-11 2.257e-09 2.356e-04]  [4 -16 76]
 NS 5-5  1.510e+01  [-270 2.973e-14 1.461e-12 9.094e-04]  [3 -17 70]
 NS 6-1  1.553e+01  [0 1.000e+00 6.332e+01 6.035e-04]  [2 -15 65]
 NS 6-2  1.614e+01  [-64 6.057e-04 3.836e-02 2.718e-04]  [4 -16 76]
 NS 6-3  1.667e+01  [-124 5.906e-07 3.740e-05 7.231e-04]  [3 -18 71]
 NS 6-4  1.727e+01  [-186 4.919e-10 3.115e-08 2.853e-04]  [4 -16 75]
 NS 6-5s 1.779e+01  [-247 4.250e-13 2.691e-11 8.653e-04]  [3 -16 69]
 NS 7-1  1.850e+01  [0 1.000e+00 8.090e+01 6.489e-04]  [2 -15 38]
 NS 7-2  1.912e+01  [-63 6.488e-04 5.249e-02 2.533e-04]  [4 -17 75]
 NS 7-3  1.965e+01  [-123 6.766e-07 5.474e-05 6.320e-04]  [3 -18 71]
 NS 7-4  2.028e+01  [-184 5.725e-10 4.632e-08 2.045e-04]  [4 -18 76]
 NS 7-5  2.082e+01  [-245 5.122e-13 4.144e-11 7.847e-04]  [3 -17 70]
 NS 8-1  2.125e+01  [0 1.000e+00 9.994e+01 3.085e-04]  [2 -18 64]
 NS 8-2  2.186e+01  [-70 3.108e-04 3.106e-02 2.437e-04]  [4 -17 75]
 NS 8-3  2.239e+01  [-128 3.683e-07 3.681e-05 6.426e-04]  [3 -17 71]
 NS 8-4  2.301e+01  [-188 3.849e-10 3.847e-08 1.751e-04]  [4 -18 75]
 NS 8-5s 2.355e+01  [-246 4.511e-13 4.508e-11 6.453e-04]  [3 -17 70]
 NS 9-1  2.427e+01  [0 1.000e+00 1.213e+02 3.905e-04]  [2 -17 38]
 NS 9-2  2.489e+01  [-68 3.912e-04 4.744e-02 2.552e-04]  [4 -16 75]
 NS 9-3  2.542e+01  [-125 5.410e-07 6.561e-05 6.699e-04]  [3 -18 71]
 NS 9-4  2.601e+01  [-183 6.351e-10 7.702e-08 1.564e-04]  [4 -19 74]
 NS 9-5  2.655e+01  [-241 8.755e-13 1.062e-10 6.167e-04]  [3 -16 70]
 NS 10-1  2.697e+01  [0 1.000e+00 1.428e+02 3.070e-04]  [2 -18 64]
 NS 10-2  2.758e+01  [-70 3.092e-04 4.414e-02 1.890e-04]  [4 -17 75]
 NS 10-3  2.810e+01  [-126 4.517e-07 6.448e-05 6.108e-04]  [3 -17 71]
 NS 10-4  2.863e+01  [-183 6.381e-10 9.109e-08 8.909e-04]  [3 -18 71]
 NS 10-5s 2.915e+01  [-237 1.320e-12 1.884e-10 9.585e-04]  [3 -17 69]
 NS 11-1  2.987e+01  [0 1.000e+00 1.654e+02 3.279e-04]  [2 -18 37]
 NS 11-2  3.048e+01  [-69 3.300e-04 5.460e-02 2.195e-04]  [4 -17 75]
 NS 11-3  3.101e+01  [-124 5.955e-07 9.853e-05 6.229e-04]  [3 -17 71]
 NS 11-4  3.154e+01  [-180 9.492e-10 1.570e-07 8.247e-04]  [3 -18 71]
 NS 11-5  3.208e+01  [-233 2.154e-12 3.564e-10 8.611e-04]  [3 -17 70]
 NS 12-1  3.250e+01  [0 1.000e+00 1.881e+02 3.073e-04]  [2 -18 64]
 NS 12-2  3.311e+01  [-70 3.106e-04 5.843e-02 1.981e-04]  [4 -17 75]
 NS 12-3  3.363e+01  [-123 6.435e-07 1.211e-04 5.633e-04]  [3 -17 71]
 NS 12-4  3.416e+01  [-178 1.169e-09 2.199e-07 7.007e-04]  [3 -19 71]
 NS 12-5s 3.471e+01  [-230 3.160e-12 5.946e-10 7.146e-04]  [3 -17 70]
 NS 13-1  3.542e+01  [0 1.000e+00 2.113e+02 3.094e-04]  [2 -18 37]
 NS 13-2  3.603e+01  [-70 3.132e-04 6.619e-02 2.053e-04]  [4 -17 75]
 NS 13-3  3.656e+01  [-122 7.615e-07 1.609e-04 5.627e-04]  [3 -17 71]
 NS 13-4  3.709e+01  [-176 1.555e-09 3.285e-07 6.465e-04]  [3 -19 72]
 NS 13-5  3.763e+01  [-226 4.787e-12 1.011e-09 6.661e-04]  [3 -16 70]
 NS 14-1  3.805e+01  [0 1.000e+00 2.344e+02 3.030e-04]  [2 -18 64]
 NS 14-2  3.867e+01  [-70 3.080e-04 7.220e-02 1.998e-04]  [4 -17 75]
 NS 14-3  3.920e+01  [-121 8.620e-07 2.021e-04 5.321e-04]  [3 -17 71]
 NS 14-4  3.973e+01  [-174 1.972e-09 4.623e-07 5.793e-04]  [3 -18 71]
 NS 14-5s 4.027e+01  [-223 7.022e-12 1.646e-09 6.091e-04]  [3 -16 70]
 NS 15-1  4.098e+01  [0 1.000e+00 2.576e+02 3.021e-04]  [2 -18 38]
 NS 15-2  4.160e+01  [-70 3.081e-04 7.938e-02 2.008e-04]  [4 -17 75]
 NS 15-3  4.213e+01  [-120 9.898e-07 2.550e-04 5.227e-04]  [3 -17 71]
 NS 15-4  4.266e+01  [-172 2.511e-09 6.469e-07 5.405e-04]  [3 -18 71]
 NS 15-5  4.320e+01  [-219 1.014e-11 2.612e-09 5.856e-04]  [3 -16 70]
 NS 16-1  4.362e+01  [0 1.000e+00 2.807e+02 2.999e-04]  [2 -18 64]
 NS 16-2  4.423e+01  [-70 3.071e-04 8.618e-02 1.995e-04]  [4 -17 75]
 NS 16-3  4.475e+01  [-119 1.121e-06 3.145e-04 5.080e-04]  [3 -17 71]
 NS 16-4  4.528e+01  [-170 3.136e-09 8.802e-07 5.068e-04]  [3 -18 71]
 NS 16-5s 4.582e+01  [-216 1.434e-11 4.024e-09 5.730e-04]  [3 -16 70]
 NS 17-1  4.653e+01  [0 1.000e+00 3.035e+02 2.992e-04]  [2 -18 37]
 NS 17-2  4.714e+01  [-70 3.077e-04 9.341e-02 1.996e-04]  [4 -17 75]
 NS 17-3  4.766e+01  [-117 1.268e-06 3.848e-04 5.009e-04]  [3 -17 71]
 NS 17-4  4.819e+01  [-168 3.884e-09 1.179e-06 4.829e-04]  [3 -18 71]
 NS 17-5  4.873e+01  [-214 1.992e-11 6.045e-09 5.745e-04]  [3 -16 70]
 NS 18-1  4.915e+01  [0 1.000e+00 3.262e+02 2.986e-04]  [2 -18 64]
