---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  1.180e+00  [0 1.000e+00 1.000e+00 2.775e-04]  [5 -17 83]
 NS 1-2  2.210e+00  [-68 3.891e-04 3.891e-04 1.962e-04]  [4 -17 81]
 NS 1-3  3.144e+00  [-140 9.082e-08 9.082e-08 2.683e-04]  [4 -16 78]
 NS 1-4  4.064e+00  [-211 2.707e-11 2.707e-11 2.525e-04]  [4 -16 77]
 NS 1-5  4.722e+00  [-249 3.237e-13 3.237e-13 1.890e-04]  [3 -17 67]
 NS 2-1  5.446e+00  [0 1.000e+00 3.577e+01 9.802e-04]  [2 -16 73]
 NS 2-2  6.463e+00  [-60 9.811e-04 3.509e-02 2.332e-04]  [4 -18 81]
 NS 2-3  7.475e+00  [-131 2.668e-07 9.541e-06 1.996e-04]  [4 -18 80]
 NS 2-4  8.469e+00  [-204 5.984e-11 2.140e-09 2.548e-04]  [4 -16 81]
 NS 2-5s 9.443e+00  [-275 1.773e-14 6.340e-13 3.086e-04]  [4 -16 79]
 NS 3-1  1.060e+01  [0 1.000e+00 3.546e+01 3.896e-04]  [3 -17 55]
 NS 3-2  1.157e+01  [-68 3.907e-04 1.386e-02 2.082e-04]  [4 -17 78]
 NS 3-3  1.268e+01  [-138 1.146e-07 4.063e-06 2.146e-04]  [4 -17 82]
 NS 3-4  1.344e+01  [-209 3.372e-11 1.196e-09 2.790e-04]  [4 -15 73]
 NS 3-5  1.427e+01  [-274 1.928e-14 6.836e-13 9.883e-04]  [3 -16 74]
 NS 4-1  1.490e+01  [0 1.000e+00 4.277e+01 8.785e-04]  [2 -18 68]
 NS 4-2  1.594e+01  [-61 8.786e-04 3.758e-02 2.696e-04]  [4 -18 80]
 NS 4-3  1.698e+01  [-129 3.506e-07 1.499e-05 2.068e-04]  [4 -18 81]
 NS 4-4  1.800e+01  [-198 1.134e-10 4.850e-09 2.298e-04]  [4 -16 81]
 NS 4-5s 1.905e+01  [-266 4.618e-14 1.975e-12 2.024e-04]  [4 -17 81]
 NS 5-1  2.013e+01  [0 1.000e+00 4.963e+01 2.408e-04]  [3 -17 49]
 NS 5-2  2.117e+01  [-72 2.415e-04 1.198e-02 2.328e-04]  [4 -18 80]
 NS 5-3  2.192e+01  [-136 1.432e-07 7.105e-06 9.191e-04]  [3 -17 76]
 NS 5-4  2.296e+01  [-197 1.389e-10 6.895e-09 3.111e-04]  [4 -17 80]
 NS 5-5  2.374e+01  [-258 1.159e-13 5.752e-12 9.476e-04]  [3 -16 72]
 NS 6-1  2.440e+01  [0 1.000e+00 6.395e+01 5.978e-04]  [2 -15 69]
 NS 6-2  2.537e+01  [-64 6.001e-04 3.838e-02 2.501e-04]  [4 -16 79]
 NS 6-3  2.621e+01  [-124 6.008e-07 3.842e-05 7.158e-04]  [3 -18 78]
 NS 6-4  2.729e+01  [-185 5.071e-10 3.243e-08 2.564e-04]  [4 -17 82]
 NS 6-5s 2.822e+01  [-247 4.301e-13 2.750e-11 7.925e-04]  [3 -16 79]
 NS 7-1  2.915e+01  [0 1.000e+00 8.162e+01 6.413e-04]  [2 -15 44]
 NS 7-2  3.001e+01  [-63 6.412e-04 5.233e-02 2.425e-04]  [4 -17 77]
 NS 7-3  3.086e+01  [-123 7.051e-07 5.755e-05 6.480e-04]  [3 -18 76]
 NS 7-4  3.193e+01  [-184 6.281e-10 5.126e-08 2.062e-04]  [4 -18 81]
 NS 7-5  3.276e+01  [-242 7.123e-13 5.814e-11 6.982e-04]  [3 -16 74]
 NS 8-1  3.340e+01  [0 1.000e+00 1.008e+02 3.131e-04]  [2 -18 67]
 NS 8-2  3.441e+01  [-70 3.154e-04 3.181e-02 2.432e-04]  [4 -17 80]
 NS 8-3  3.521e+01  [-127 4.015e-07 4.049e-05 6.195e-04]  [3 -17 75]
 NS 8-4  3.628e+01  [-187 4.351e-10 4.388e-08 2.031e-04]  [4 -18 82]
 NS 8-5s 3.693e+01  [-244 5.902e-13 5.952e-11 7.059e-04]  [3 -16 69]
 NS 9-1  3.800e+01  [0 1.000e+00 1.223e+02 3.933e-04]  [2 -17 49]
 NS 9-2  3.885e+01  [-68 3.940e-04 4.821e-02 2.434e-04]  [4 -17 78]
 NS 9-3  3.960e+01  [-124 5.973e-07 7.308e-05 6.732e-04]  [3 -17 76]
 NS 9-4  4.056e+01  [-182 7.392e-10 9.044e-08 1.704e-04]  [4 -19 81]
 NS 9-5  4.139e+01  [-239 1.109e-12 1.357e-10 6.427e-04]  [3 -16 75]
 NS 10-1  4.210e+01  [0 1.000e+00 1.440e+02 3.123e-04]  [2 -18 73]
 NS 10-2  4.311e+01  [-70 3.146e-04 4.531e-02 1.972e-04]  [4 -17 82]
 NS 10-3  4.385e+01  [-125 5.243e-07 7.550e-05 6.118e-04]  [3 -17 74]
 NS 10-4  4.478e+01  [-182 7.754e-10 1.117e-07 1.634e-04]  [4 -19 78]
 NS 10-5s 4.557e+01  [-236 1.508e-12 2.171e-10 5.450e-04]  [3 -16 74]
 NS 11-1  4.664e+01  [0 1.000e+00 1.669e+02 3.322e-04]  [2 -17 50]
 NS 11-2  4.761e+01  [-69 3.344e-04 5.582e-02 2.177e-04]  [4 -17 81]
 NS 11-3  4.846e+01  [-123 6.854e-07 1.144e-04 6.114e-04]  [3 -17 79]
 NS 11-4  4.937e+01  [-178 1.153e-09 1.925e-07 9.187e-04]  [3 -18 78]
 NS 11-5  5.025e+01  [-231 2.558e-12 4.270e-10 9.335e-04]  [3 -17 77]
 NS 12-1  5.087e+01  [0 1.000e+00 1.898e+02 3.121e-04]  [2 -17 70]
 NS 12-2  5.181e+01  [-70 3.155e-04 5.988e-02 2.036e-04]  [4 -17 80]
 NS 12-3  5.253e+01  [-122 7.479e-07 1.419e-04 5.620e-04]  [3 -17 73]
 NS 12-4  5.328e+01  [-176 1.438e-09 2.728e-07 8.324e-04]  [3 -18 77]
 NS 12-5s 5.401e+01  [-228 3.727e-12 7.074e-10 8.399e-04]  [3 -17 73]
 NS 13-1  5.511e+01  [0 1.000e+00 2.132e+02 3.139e-04]  [2 -17 51]
 NS 13-2  5.614e+01  [-69 3.180e-04 6.778e-02 2.087e-04]  [4 -17 81]
 NS 13-3  5.709e+01  [-121 8.865e-07 1.890e-04 5.549e-04]  [3 -17 81]
 NS 13-4  5.798e+01  [-174 1.928e-09 4.110e-07 7.633e-04]  [3 -18 79]
 NS 13-5  5.883e+01  [-225 5.559e-12 1.185e-09 7.969e-04]  [3 -17 76]
 NS 14-1  5.948e+01  [0 1.000e+00 2.365e+02 3.076e-04]  [2 -17 71]
 NS 14-2  6.058e+01  [-70 3.128e-04 7.396e-02 2.041e-04]  [4 -17 83]
 NS 14-3  6.119e+01  [-119 1.006e-06 2.378e-04 5.308e-04]  [3 -17 68]
 NS 14-4  6.203e+01  [-172 2.449e-09 5.791e-07 7.137e-04]  [3 -18 77]
 NS 14-5s 6.298e+01  [-221 8.160e-12 1.930e-09 7.810e-04]  [3 -16 78]
 NS 15-1  6.392e+01  [0 1.000e+00 2.599e+02 3.066e-04]  [2 -17 43]
 NS 15-2  6.497e+01  [-70 3.128e-04 8.130e-02 2.090e-04]  [4 -16 83]
 NS 15-3  6.591e+01  [-118 1.159e-06 3.011e-04 5.288e-04]  [3 -17 80]
 NS 15-4  6.674e+01  [-170 3.138e-09 8.156e-07 6.673e-04]  [3 -18 77]
 NS 15-5  6.765e+01  [-218 1.180e-11 3.066e-09 7.738e-04]  [3 -16 77]
 NS 16-1  6.829e+01  [0 1.000e+00 2.831e+02 3.043e-04]  [2 -17 70]
