---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  6.530e-01  [0 1.000e+00 1.000e+00 3.226e-04]  [5 -17 80]
 NS 1-2  1.218e+00  [-65 5.362e-04 5.362e-04 1.992e-04]  [4 -16 77]
 NS 1-3  1.779e+00  [-138 1.228e-07 1.228e-07 3.547e-04]  [4 -16 76]
 NS 1-4  2.340e+00  [-206 4.709e-11 4.709e-11 3.056e-04]  [4 -16 77]
 NS 1-5  2.771e+00  [-249 3.294e-13 3.294e-13 2.642e-04]  [3 -17 67]
 NS 2-1  3.248e+00  [0 1.000e+00 3.613e+01 2.231e-04]  [3 -16 72]
 NS 2-2  3.806e+00  [-72 2.264e-04 8.180e-03 2.750e-04]  [4 -16 77]
 NS 2-3  4.368e+00  [-142 7.223e-08 2.610e-06 3.017e-04]  [4 -16 77]
 NS 2-4  4.923e+00  [-212 2.425e-11 8.761e-10 3.110e-04]  [4 -15 76]
 NS 2-5  5.447e+00  [-280 9.402e-15 3.397e-13 2.992e-04]  [4 -16 73]
 NS 3-1  5.922e+00  [0 1.000e+00 3.531e+01 4.286e-04]  [3 -17 72]
 NS 3-2  6.478e+00  [-67 4.311e-04 1.522e-02 2.353e-04]  [4 -17 76]
 NS 3-3  7.038e+00  [-137 1.390e-07 4.909e-06 2.826e-04]  [4 -17 77]
 NS 3-4  7.598e+00  [-206 4.793e-11 1.693e-09 2.903e-04]  [4 -16 77]
 NS 3-5  8.138e+00  [-272 2.308e-14 8.149e-13 3.156e-04]  [4 -15 74]
 NS 4-1  8.532e+00  [0 1.000e+00 4.263e+01 9.916e-04]  [2 -18 67]
 NS 4-2  9.080e+00  [-60 9.937e-04 4.236e-02 3.290e-04]  [4 -17 76]
 NS 4-3  9.633e+00  [-126 4.480e-07 1.910e-05 2.366e-04]  [4 -17 76]
 NS 4-4  1.017e+01  [-195 1.718e-10 7.326e-09 2.396e-04]  [4 -16 75]
 NS 4-5  1.072e+01  [-261 8.813e-14 3.757e-12 2.769e-04]  [4 -15 75]
 NS 5-1  1.120e+01  [0 1.000e+00 4.962e+01 2.517e-04]  [3 -17 72]
 NS 5-2  1.175e+01  [-71 2.542e-04 1.262e-02 2.603e-04]  [4 -17 76]
 NS 5-3  1.222e+01  [-136 1.432e-07 7.105e-06 9.780e-04]  [3 -17 72]
 NS 5-4  1.277e+01  [-196 1.474e-10 7.316e-09 2.840e-04]  [4 -17 76]
 NS 5-5s 1.334e+01  [-260 9.173e-14 4.552e-12 2.087e-04]  [4 -16 75]
 NS 6-1  1.402e+01  [0 1.000e+00 6.401e+01 6.153e-04]  [2 -15 38]
 NS 6-2  1.459e+01  [-64 6.170e-04 3.950e-02 2.759e-04]  [4 -15 76]
 NS 6-3  1.507e+01  [-122 7.558e-07 4.838e-05 6.943e-04]  [3 -18 72]
 NS 6-4  1.563e+01  [-184 6.265e-10 4.010e-08 2.573e-04]  [4 -17 77]
 NS 6-5  1.611e+01  [-245 5.057e-13 3.237e-11 9.841e-04]  [3 -16 70]
 NS 7-1  1.650e+01  [0 1.000e+00 8.201e+01 6.405e-04]  [2 -15 66]
