---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  1.223e+00  [0 1.000e+00 1.000e+00 3.049e-04]  [5 -17 84]
 NS 1-2  2.256e+00  [-67 4.161e-04 4.161e-04 2.066e-04]  [4 -17 82]
 NS 1-3  3.329e+00  [-139 1.003e-07 1.003e-07 2.916e-04]  [4 -16 82]
 NS 1-4  4.339e+00  [-209 3.172e-11 3.172e-11 3.203e-04]  [4 -15 81]
 NS 1-5  5.094e+00  [-247 4.011e-13 4.011e-13 2.014e-04]  [3 -17 72]
 NS 2-1  6.038e+00  [0 1.000e+00 3.557e+01 2.030e-04]  [3 -16 79]
 NS 2-2  6.847e+00  [-73 2.045e-04 7.273e-03 2.566e-04]  [4 -17 77]
 NS 2-3  7.675e+00  [-144 5.901e-08 2.099e-06 2.346e-04]  [4 -18 78]
 NS 2-4  8.517e+00  [-216 1.577e-11 5.611e-10 2.606e-04]  [4 -16 77]
 NS 2-5s 9.272e+00  [-284 6.099e-15 2.170e-13 2.266e-04]  [4 -17 74]
 NS 3-1  1.049e+01  [0 1.000e+00 3.514e+01 4.147e-04]  [3 -17 57]
 NS 3-2  1.152e+01  [-67 4.158e-04 1.461e-02 2.353e-04]  [4 -17 82]
 NS 3-3  1.256e+01  [-137 1.298e-07 4.560e-06 2.370e-04]  [4 -17 82]
 NS 3-4  1.361e+01  [-208 3.845e-11 1.351e-09 2.853e-04]  [4 -16 81]
 NS 3-5  1.452e+01  [-273 2.027e-14 7.121e-13 2.084e-04]  [4 -16 77]
 NS 4-1  1.521e+01  [0 1.000e+00 4.257e+01 9.029e-04]  [2 -18 72]
 NS 4-2  1.631e+01  [-60 9.028e-04 3.843e-02 2.939e-04]  [4 -18 84]
 NS 4-3  1.746e+01  [-128 3.793e-07 1.615e-05 2.042e-04]  [4 -18 84]
 NS 4-4  1.847e+01  [-198 1.207e-10 5.139e-09 2.215e-04]  [4 -16 79]
 NS 4-5s 1.934e+01  [-266 4.728e-14 2.013e-12 2.446e-04]  [4 -16 76]
 NS 5-1  2.052e+01  [0 1.000e+00 4.889e+01 2.547e-04]  [3 -17 56]
 NS 5-2  2.163e+01  [-71 2.553e-04 1.248e-02 2.507e-04]  [4 -19 82]
 NS 5-3  2.249e+01  [-136 1.483e-07 7.249e-06 9.432e-04]  [3 -17 78]
 NS 5-4  2.349e+01  [-196 1.473e-10 7.203e-09 2.959e-04]  [4 -17 81]
 NS 5-5  2.425e+01  [-259 1.102e-13 5.390e-12 9.781e-04]  [3 -16 73]
 NS 6-1  2.500e+01  [0 1.000e+00 6.321e+01 6.120e-04]  [2 -15 74]
 NS 6-2  2.603e+01  [-64 6.144e-04 3.884e-02 2.638e-04]  [4 -16 82]
 NS 6-3  2.694e+01  [-123 6.318e-07 3.994e-05 6.843e-04]  [3 -18 78]
 NS 6-4  2.786e+01  [-185 5.123e-10 3.239e-08 2.637e-04]  [4 -17 77]
 NS 6-5s 2.871e+01  [-246 4.696e-13 2.968e-11 9.195e-04]  [3 -16 76]
 NS 7-1  2.969e+01  [0 1.000e+00 8.044e+01 6.541e-04]  [2 -15 48]
 NS 7-2  3.071e+01  [-63 6.540e-04 5.260e-02 2.634e-04]  [4 -17 81]
 NS 7-3  3.159e+01  [-122 7.315e-07 5.884e-05 6.448e-04]  [3 -18 77]
 NS 7-4  3.265e+01  [-183 6.405e-10 5.152e-08 2.134e-04]  [4 -17 80]
 NS 7-5  3.354e+01  [-243 6.409e-13 5.155e-11 8.088e-04]  [3 -16 77]
 NS 8-1  3.422e+01  [0 1.000e+00 9.948e+01 3.190e-04]  [2 -18 70]
 NS 8-2  3.526e+01  [-69 3.214e-04 3.197e-02 2.445e-04]  [4 -17 81]
 NS 8-3  3.613e+01  [-127 4.065e-07 4.044e-05 6.104e-04]  [3 -17 77]
 NS 8-4  3.700e+01  [-187 4.171e-10 4.150e-08 1.958e-04]  [4 -17 79]
 NS 8-5s 3.770e+01  [-246 5.009e-13 4.983e-11 7.607e-04]  [3 -16 70]
 NS 9-1  3.868e+01  [0 1.000e+00 1.206e+02 3.951e-04]  [2 -17 46]
 NS 9-2  3.970e+01  [-68 3.958e-04 4.774e-02 2.642e-04]  [4 -17 80]
 NS 9-3  4.057e+01  [-124 5.913e-07 7.132e-05 6.435e-04]  [3 -18 77]
 NS 9-4  4.168e+01  [-183 6.912e-10 8.337e-08 1.723e-04]  [4 -18 82]
 NS 9-5  4.263e+01  [-240 9.890e-13 1.193e-10 7.061e-04]  [3 -16 79]
 NS 10-1  4.336e+01  [0 1.000e+00 1.420e+02 3.148e-04]  [2 -18 75]
 NS 10-2  4.438e+01  [-69 3.171e-04 4.504e-02 1.941e-04]  [4 -17 80]
 NS 10-3  4.513e+01  [-125 5.090e-07 7.227e-05 5.565e-04]  [3 -17 74]
 NS 10-4  4.590e+01  [-182 7.114e-10 1.010e-07 9.706e-04]  [3 -18 73]
 NS 10-5s 4.672e+01  [-236 1.501e-12 2.131e-10 2.037e-04]  [4 -17 74]
 NS 11-1  4.777e+01  [0 1.000e+00 1.645e+02 3.335e-04]  [2 -18 48]
 NS 11-2  4.879e+01  [-69 3.358e-04 5.526e-02 2.300e-04]  [4 -17 81]
 NS 11-3  4.967e+01  [-123 6.642e-07 1.093e-04 5.858e-04]  [3 -17 78]
 NS 11-4  5.058e+01  [-179 1.070e-09 1.761e-07 8.651e-04]  [3 -18 79]
 NS 11-5  5.143e+01  [-232 2.392e-12 3.937e-10 9.388e-04]  [3 -17 75]
 NS 12-1  5.207e+01  [0 1.000e+00 1.871e+02 3.139e-04]  [2 -18 69]
 NS 12-2  5.307e+01  [-69 3.174e-04 5.939e-02 2.070e-04]  [4 -17 80]
 NS 12-3  5.398e+01  [-122 7.237e-07 1.354e-04 5.280e-04]  [3 -17 80]
 NS 12-4  5.488e+01  [-177 1.350e-09 2.527e-07 7.465e-04]  [3 -18 79]
 NS 12-5s 5.567e+01  [-229 3.537e-12 6.618e-10 7.526e-04]  [3 -17 76]
 NS 13-1  5.671e+01  [0 1.000e+00 2.102e+02 3.153e-04]  [2 -18 49]
 NS 13-2  5.777e+01  [-69 3.195e-04 6.715e-02 2.148e-04]  [4 -17 82]
 NS 13-3  5.866e+01  [-121 8.546e-07 1.796e-04 5.312e-04]  [3 -17 78]
 NS 13-4  5.955e+01  [-174 1.819e-09 3.822e-07 6.811e-04]  [3 -18 78]
 NS 13-5  6.043e+01  [-225 5.376e-12 1.130e-09 6.678e-04]  [3 -17 77]
 NS 14-1  6.107e+01  [0 1.000e+00 2.331e+02 3.092e-04]  [2 -18 70]
 NS 14-2  6.196e+01  [-70 3.146e-04 7.334e-02 2.087e-04]  [4 -17 77]
 NS 14-3  6.278e+01  [-120 9.667e-07 2.254e-04 5.061e-04]  [3 -17 74]
 NS 14-4  6.357e+01  [-172 2.332e-09 5.438e-07 6.175e-04]  [3 -18 74]
 NS 14-5s 6.433e+01  [-221 7.950e-12 1.853e-09 6.089e-04]  [3 -16 73]
 NS 15-1  6.537e+01  [0 1.000e+00 2.562e+02 3.080e-04]  [2 -18 49]
 NS 15-2  6.637e+01  [-70 3.145e-04 8.058e-02 2.097e-04]  [4 -17 81]
 NS 15-3  6.719e+01  [-119 1.107e-06 2.837e-04 5.045e-04]  [3 -17 74]
 NS 15-4  6.799e+01  [-170 2.984e-09 7.645e-07 5.800e-04]  [3 -18 74]
 NS 15-5  6.887e+01  [-218 1.159e-11 2.970e-09 5.979e-04]  [3 -16 77]
 NS 16-1  6.954e+01  [0 1.000e+00 2.791e+02 3.057e-04]  [2 -18 69]
 NS 16-2  7.041e+01  [-70 3.136e-04 8.753e-02 2.081e-04]  [4 -17 79]
 NS 16-3  7.110e+01  [-118 1.256e-06 3.504e-04 4.989e-04]  [3 -17 74]
 NS 16-4  7.184e+01  [-168 3.753e-09 1.047e-06 5.532e-04]  [3 -18 75]
 NS 16-5s 7.262e+01  [-215 1.670e-11 4.660e-09 6.079e-04]  [3 -16 72]
 NS 17-1  7.360e+01  [0 1.000e+00 3.018e+02 3.050e-04]  [2 -18 48]
 NS 17-2  7.468e+01  [-70 3.143e-04 9.486e-02 2.080e-04]  [4 -17 81]
 NS 17-3  7.562e+01  [-116 1.425e-06 4.301e-04 5.008e-04]  [3 -17 80]
 NS 17-4  7.646e+01  [-166 4.688e-09 1.415e-06 5.355e-04]  [3 -18 78]
 NS 17-5  7.730e+01  [-212 2.394e-11 7.225e-09 6.275e-04]  [3 -16 75]
