---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  1.335e+00  [0 1.000e+00 1.000e+00 2.965e-04]  [5 -17 86]
 NS 1-2  2.534e+00  [-67 3.988e-04 3.988e-04 2.340e-04]  [4 -17 83]
 NS 1-3  3.705e+00  [-139 1.060e-07 1.060e-07 3.257e-04]  [4 -16 83]
 NS 1-4  4.866e+00  [-208 3.719e-11 3.719e-11 3.718e-04]  [4 -15 83]
 NS 1-5  5.696e+00  [-249 3.364e-13 3.364e-13 2.612e-04]  [3 -17 77]
 NS 2-1  6.686e+00  [0 1.000e+00 3.524e+01 1.975e-04]  [3 -16 80]
 NS 2-2  7.850e+00  [-74 1.990e-04 7.014e-03 2.814e-04]  [4 -17 84]
 NS 2-3  9.076e+00  [-144 6.220e-08 2.192e-06 2.849e-04]  [4 -17 84]
 NS 2-4  1.023e+01  [-214 1.957e-11 6.898e-10 3.236e-04]  [4 -15 82]
 NS 2-5s 1.126e+01  [-281 8.449e-15 2.977e-13 3.120e-04]  [4 -16 80]
 NS 3-1  1.257e+01  [0 1.000e+00 3.498e+01 4.072e-04]  [3 -17 58]
 NS 3-2  1.375e+01  [-67 4.083e-04 1.428e-02 2.388e-04]  [4 -17 83]
 NS 3-3  1.480e+01  [-137 1.292e-07 4.518e-06 2.672e-04]  [4 -17 80]
 NS 3-4  1.571e+01  [-207 4.213e-11 1.473e-09 3.336e-04]  [4 -16 77]
 NS 3-5  1.671e+01  [-272 2.304e-14 8.058e-13 2.489e-04]  [4 -16 78]
 NS 4-1  1.738e+01  [0 1.000e+00 4.206e+01 8.967e-04]  [2 -18 71]
 NS 4-2  1.844e+01  [-60 8.969e-04 3.773e-02 2.888e-04]  [4 -18 82]
 NS 4-3  1.950e+01  [-128 3.603e-07 1.516e-05 2.478e-04]  [4 -18 81]
 NS 4-4  2.058e+01  [-198 1.232e-10 5.182e-09 2.819e-04]  [4 -16 83]
 NS 4-5s 2.159e+01  [-265 5.015e-14 2.110e-12 3.314e-04]  [4 -16 80]
 NS 5-1  2.270e+01  [0 1.000e+00 4.976e+01 2.481e-04]  [3 -17 52]
 NS 5-2  2.378e+01  [-72 2.487e-04 1.237e-02 2.518e-04]  [4 -19 80]
 NS 5-3  2.491e+01  [-136 1.458e-07 7.255e-06 1.913e-04]  [4 -17 75]
 NS 5-4  2.617e+01  [-205 5.231e-11 2.603e-09 2.694e-04]  [4 -16 85]
 NS 5-5  2.739e+01  [-269 3.307e-14 1.645e-12 2.524e-04]  [4 -16 82]
 NS 6-1  2.814e+01  [0 1.000e+00 6.389e+01 6.034e-04]  [2 -15 72]
 NS 6-2  2.926e+01  [-64 6.055e-04 3.869e-02 2.808e-04]  [4 -15 83]
 NS 6-3  3.015e+01  [-124 5.960e-07 3.808e-05 6.980e-04]  [3 -18 78]
 NS 6-4  3.127e+01  [-186 4.911e-10 3.138e-08 2.969e-04]  [4 -17 82]
 NS 6-5s 3.232e+01  [-247 4.177e-13 2.669e-11 2.048e-04]  [4 -16 79]
 NS 7-1  3.337e+01  [0 1.000e+00 8.194e+01 6.485e-04]  [2 -15 51]
 NS 7-2  3.433e+01  [-63 6.483e-04 5.312e-02 2.644e-04]  [4 -17 80]
 NS 7-3  3.519e+01  [-122 7.300e-07 5.982e-05 7.460e-04]  [3 -18 78]
 NS 7-4  3.630e+01  [-183 6.692e-10 5.484e-08 2.321e-04]  [4 -17 82]
 NS 7-5  3.706e+01  [-244 6.128e-13 5.021e-11 8.865e-04]  [3 -16 71]
