---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  6.050e-01  [0 1.000e+00 1.000e+00 3.754e-04]  [5 -16 80]
 NS 1-2  1.137e+00  [-64 6.003e-04 6.003e-04 2.181e-04]  [4 -17 76]
 NS 1-3  1.671e+00  [-136 1.445e-07 1.445e-07 3.621e-04]  [4 -17 77]
 NS 1-4  2.201e+00  [-205 5.580e-11 5.580e-11 3.676e-04]  [4 -15 76]
 NS 1-5  2.610e+00  [-249 3.411e-13 3.411e-13 3.423e-04]  [3 -16 67]
 NS 2-1  3.063e+00  [0 1.000e+00 3.699e+01 2.380e-04]  [3 -16 71]
 NS 2-2  3.590e+00  [-72 2.417e-04 8.940e-03 2.990e-04]  [4 -17 76]
 NS 2-3  4.120e+00  [-141 8.662e-08 3.204e-06 2.570e-04]  [4 -17 76]
 NS 2-4  4.655e+00  [-211 2.635e-11 9.749e-10 3.309e-04]  [4 -16 76]
 NS 2-5  5.161e+00  [-279 1.033e-14 3.820e-13 3.848e-04]  [4 -16 73]
 NS 3-1  5.609e+00  [0 1.000e+00 3.602e+01 4.460e-04]  [3 -17 72]
 NS 3-2  6.129e+00  [-66 4.488e-04 1.617e-02 2.800e-04]  [4 -17 76]
 NS 3-3  6.656e+00  [-135 1.611e-07 5.803e-06 3.351e-04]  [4 -17 76]
 NS 3-4  7.182e+00  [-203 6.493e-11 2.339e-09 3.604e-04]  [4 -15 76]
 NS 3-5  7.692e+00  [-270 3.020e-14 1.088e-12 3.944e-04]  [4 -15 74]
 NS 4-1  8.136e+00  [0 1.000e+00 4.347e+01 2.064e-04]  [3 -16 72]
 NS 4-2  8.659e+00  [-73 2.183e-04 9.489e-03 3.571e-04]  [4 -16 76]
 NS 4-3  9.184e+00  [-139 1.025e-07 4.458e-06 3.190e-04]  [4 -17 76]
 NS 4-4  9.696e+00  [-206 4.632e-11 2.014e-09 2.608e-04]  [4 -15 75]
 NS 4-5  1.019e+01  [-271 2.567e-14 1.116e-12 2.750e-04]  [4 -15 73]
 NS 5-1  1.064e+01  [0 1.000e+00 5.040e+01 2.668e-04]  [3 -17 72]
 NS 5-2  1.117e+01  [-71 2.695e-04 1.358e-02 2.706e-04]  [4 -18 76]
 NS 5-3  1.170e+01  [-136 1.544e-07 7.781e-06 2.682e-04]  [4 -16 76]
 NS 5-4  1.219e+01  [-203 7.005e-11 3.531e-09 2.940e-04]  [4 -16 74]
 NS 5-5s 1.272e+01  [-266 4.503e-14 2.270e-12 3.360e-04]  [4 -15 75]
 NS 6-1  1.336e+01  [0 1.000e+00 6.505e+01 6.627e-04]  [2 -15 38]
 NS 6-2  1.389e+01  [-63 6.646e-04 4.323e-02 3.154e-04]  [4 -14 76]
 NS 6-3  1.434e+01  [-121 8.247e-07 5.364e-05 7.904e-04]  [3 -17 72]
 NS 6-4  1.487e+01  [-182 7.540e-10 4.905e-08 3.132e-04]  [4 -17 76]
 NS 6-5  1.541e+01  [-244 5.928e-13 3.856e-11 2.424e-04]  [4 -17 75]
 NS 7-1  1.578e+01  [0 1.000e+00 8.335e+01 6.762e-04]  [2 -15 66]
 NS 7-2  1.630e+01  [-63 6.765e-04 5.639e-02 2.805e-04]  [4 -17 76]
 NS 7-3  1.675e+01  [-119 1.021e-06 8.512e-05 6.612e-04]  [3 -16 72]
 NS 7-4  1.728e+01  [-180 8.976e-10 7.482e-08 2.423e-04]  [4 -18 76]
 NS 7-5  1.782e+01  [-242 7.674e-13 6.397e-11 2.330e-04]  [4 -16 75]
 NS 8-1  1.818e+01  [0 1.000e+00 1.028e+02 3.276e-04]  [2 -18 65]
 NS 8-2  1.870e+01  [-69 3.325e-04 3.418e-02 3.008e-04]  [4 -17 76]
 NS 8-3  1.915e+01  [-127 4.359e-07 4.481e-05 8.302e-04]  [3 -16 72]
 NS 8-4  1.967e+01  [-186 4.772e-10 4.906e-08 2.867e-04]  [4 -17 76]
 NS 8-5  2.010e+01  [-244 6.287e-13 6.464e-11 9.626e-04]  [3 -16 68]
 NS 9-1  2.046e+01  [0 1.000e+00 1.249e+02 4.060e-04]  [2 -17 65]
 NS 9-2  2.098e+01  [-67 4.088e-04 5.106e-02 3.070e-04]  [4 -17 76]
 NS 9-3  2.143e+01  [-122 7.111e-07 8.882e-05 7.653e-04]  [3 -16 72]
 NS 9-4  2.196e+01  [-181 8.750e-10 1.093e-07 2.355e-04]  [4 -17 76]
 NS 9-5  2.242e+01  [-238 1.237e-12 1.546e-10 9.562e-04]  [3 -16 70]
 NS 10-1  2.278e+01  [0 1.000e+00 1.469e+02 3.211e-04]  [2 -18 65]
 NS 10-2  2.330e+01  [-69 3.271e-04 4.805e-02 2.542e-04]  [4 -16 76]
 NS 10-3  2.375e+01  [-127 4.450e-07 6.537e-05 9.351e-04]  [3 -16 72]
