---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  9.260e-01  [0 1.000e+00 1.000e+00 2.765e-04]  [5 -17 80]
 NS 1-2  1.662e+00  [-68 3.808e-04 3.808e-04 1.978e-04]  [4 -17 75]
 NS 1-3  2.445e+00  [-140 9.100e-08 9.100e-08 2.951e-04]  [4 -16 76]
 NS 1-4  3.092e+00  [-210 2.937e-11 2.937e-11 3.205e-04]  [4 -15 72]
 NS 1-5  3.694e+00  [-249 3.264e-13 3.264e-13 2.221e-04]  [3 -17 68]
 NS 2-1  4.260e+00  [0 1.000e+00 3.456e+01 9.929e-04]  [2 -17 68]
 NS 2-2  5.025e+00  [-60 9.938e-04 3.434e-02 2.351e-04]  [4 -18 76]
 NS 2-3  5.842e+00  [-131 2.690e-07 9.296e-06 2.129e-04]  [4 -17 78]
 NS 2-4  6.733e+00  [-203 6.354e-11 2.196e-09 2.615e-04]  [4 -16 72]
 NS 2-5s 7.490e+00  [-274 1.938e-14 6.697e-13 2.883e-04]  [4 -17 75]
 NS 3-1  8.418e+00  [0 1.000e+00 3.427e+01 3.968e-04]  [3 -17 44]
 NS 3-2  9.196e+00  [-68 3.980e-04 1.364e-02 2.103e-04]  [4 -17 77]
 NS 3-3  9.954e+00  [-138 1.165e-07 3.994e-06 2.235e-04]  [4 -17 76]
 NS 3-4  1.067e+01  [-209 3.481e-11 1.193e-09 2.794e-04]  [4 -15 75]
 NS 3-5  1.141e+01  [-274 1.972e-14 6.759e-13 2.279e-04]  [4 -16 74]
 NS 4-1  1.190e+01  [0 1.000e+00 4.128e+01 8.783e-04]  [2 -19 64]
 NS 4-2  1.270e+01  [-61 8.785e-04 3.627e-02 2.727e-04]  [4 -18 78]
 NS 4-3  1.348e+01  [-129 3.484e-07 1.438e-05 1.923e-04]  [4 -18 77]
 NS 4-4  1.425e+01  [-198 1.126e-10 4.647e-09 2.238e-04]  [4 -16 76]
 NS 4-5s 1.499e+01  [-266 4.644e-14 1.917e-12 2.150e-04]  [4 -16 75]
 NS 5-1  1.597e+01  [0 1.000e+00 4.846e+01 2.420e-04]  [3 -17 49]
 NS 5-2  1.670e+01  [-72 2.426e-04 1.175e-02 2.372e-04]  [4 -19 75]
 NS 5-3  1.733e+01  [-137 1.382e-07 6.699e-06 9.058e-04]  [3 -17 72]
 NS 5-4  1.807e+01  [-197 1.311e-10 6.352e-09 2.599e-04]  [4 -18 78]
 NS 5-5  1.873e+01  [-260 9.712e-14 4.706e-12 9.524e-04]  [3 -17 72]
 NS 6-1  1.928e+01  [0 1.000e+00 6.232e+01 6.028e-04]  [2 -15 69]
 NS 6-2  2.007e+01  [-64 6.050e-04 3.771e-02 2.548e-04]  [4 -15 77]
 NS 6-3  2.074e+01  [-124 5.971e-07 3.721e-05 6.485e-04]  [3 -18 73]
 NS 6-4  2.149e+01  [-186 4.723e-10 2.943e-08 2.482e-04]  [4 -17 77]
