---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  1.030e+00  [0 1.000e+00 1.000e+00 2.621e-04]  [5 -17 81]
 NS 1-2  1.953e+00  [-68 3.847e-04 3.847e-04 1.940e-04]  [4 -17 80]
 NS 1-3  2.814e+00  [-141 8.910e-08 8.910e-08 2.673e-04]  [4 -16 78]
 NS 1-4  3.737e+00  [-211 2.623e-11 2.623e-11 2.713e-04]  [4 -15 79]
 NS 1-5  4.357e+00  [-250 3.153e-13 3.153e-13 2.036e-04]  [3 -17 65]
 NS 2-1  4.979e+00  [0 1.000e+00 3.507e+01 9.842e-04]  [2 -17 68]
 NS 2-2  5.785e+00  [-60 9.852e-04 3.455e-02 2.272e-04]  [4 -18 75]
 NS 2-3  6.687e+00  [-131 2.606e-07 9.139e-06 2.120e-04]  [4 -18 79]
 NS 2-4  7.610e+00  [-204 6.183e-11 2.168e-09 2.530e-04]  [4 -16 78]
 NS 2-5s 8.376e+00  [-274 1.785e-14 6.258e-13 2.837e-04]  [4 -16 73]
 NS 3-1  9.455e+00  [0 1.000e+00 3.465e+01 3.895e-04]  [3 -17 49]
 NS 3-2  1.038e+01  [-68 3.907e-04 1.354e-02 1.978e-04]  [4 -17 80]
 NS 3-3  1.128e+01  [-139 1.121e-07 3.886e-06 2.161e-04]  [4 -17 80]
 NS 3-4  1.220e+01  [-209 3.262e-11 1.130e-09 2.587e-04]  [4 -15 78]
 NS 3-5  1.281e+01  [-274 1.893e-14 6.559e-13 8.874e-04]  [3 -17 66]
 NS 4-1  1.341e+01  [0 1.000e+00 4.197e+01 8.745e-04]  [2 -18 69]
 NS 4-2  1.432e+01  [-61 8.745e-04 3.670e-02 2.578e-04]  [4 -18 78]
 NS 4-3  1.523e+01  [-129 3.465e-07 1.454e-05 1.931e-04]  [4 -18 79]
 NS 4-4  1.615e+01  [-199 1.070e-10 4.489e-09 2.266e-04]  [4 -16 80]
 NS 4-5s 1.699e+01  [-267 4.242e-14 1.780e-12 2.408e-04]  [4 -16 76]
 NS 5-1  1.813e+01  [0 1.000e+00 4.830e+01 2.403e-04]  [3 -17 54]
 NS 5-2  1.904e+01  [-72 2.412e-04 1.165e-02 2.253e-04]  [4 -18 78]
 NS 5-3  1.972e+01  [-136 1.416e-07 6.839e-06 9.156e-04]  [3 -17 73]
 NS 5-4  2.067e+01  [-197 1.357e-10 6.557e-09 2.703e-04]  [4 -17 81]
 NS 5-5  2.145e+01  [-260 9.193e-14 4.441e-12 9.761e-04]  [3 -16 74]
 NS 6-1  2.207e+01  [0 1.000e+00 6.243e+01 5.858e-04]  [2 -15 68]
 NS 6-2  2.299e+01  [-64 5.882e-04 3.672e-02 2.428e-04]  [4 -15 79]
 NS 6-3  2.378e+01  [-124 5.976e-07 3.731e-05 7.103e-04]  [3 -18 77]
 NS 6-4  2.467e+01  [-186 4.943e-10 3.086e-08 2.536e-04]  [4 -17 79]
 NS 6-5s 2.544e+01  [-247 4.323e-13 2.699e-11 7.920e-04]  [3 -16 73]
 NS 7-1  2.641e+01  [0 1.000e+00 7.948e+01 6.475e-04]  [2 -15 47]
 NS 7-2  2.728e+01  [-63 6.474e-04 5.146e-02 2.336e-04]  [4 -17 79]
 NS 7-3  2.809e+01  [-123 6.927e-07 5.506e-05 5.626e-04]  [3 -18 78]
 NS 7-4  2.902e+01  [-184 5.714e-10 4.542e-08 2.057e-04]  [4 -17 80]
 NS 7-5  2.978e+01  [-245 5.135e-13 4.081e-11 7.165e-04]  [3 -16 74]
 NS 8-1  3.039e+01  [0 1.000e+00 9.829e+01 3.066e-04]  [2 -18 67]
 NS 8-2  3.128e+01  [-70 3.091e-04 3.038e-02 2.261e-04]  [4 -17 79]
 NS 8-3  3.205e+01  [-128 3.895e-07 3.829e-05 5.785e-04]  [3 -17 75]
 NS 8-4  3.287e+01  [-188 3.960e-10 3.892e-08 1.920e-04]  [4 -17 77]
 NS 8-5s 3.359e+01  [-247 4.423e-13 4.347e-11 6.478e-04]  [3 -16 71]
 NS 9-1  3.452e+01  [0 1.000e+00 1.192e+02 3.905e-04]  [2 -17 44]
 NS 9-2  3.546e+01  [-68 3.913e-04 4.664e-02 2.363e-04]  [4 -17 78]
 NS 9-3  3.625e+01  [-124 5.630e-07 6.710e-05 5.720e-04]  [3 -17 76]
 NS 9-4  3.706e+01  [-183 6.580e-10 7.842e-08 9.588e-04]  [3 -17 77]
 NS 9-5  3.797e+01  [-239 1.050e-12 1.251e-10 1.828e-04]  [4 -18 79]
 NS 10-1  3.854e+01  [0 1.000e+00 1.403e+02 3.065e-04]  [2 -18 66]
 NS 10-2  3.939e+01  [-70 3.091e-04 4.337e-02 1.881e-04]  [4 -17 77]
 NS 10-3  4.014e+01  [-126 4.810e-07 6.749e-05 5.441e-04]  [3 -17 74]
 NS 10-4  4.083e+01  [-183 6.888e-10 9.665e-08 9.052e-04]  [3 -18 71]
 NS 10-5s 4.159e+01  [-237 1.350e-12 1.895e-10 9.142e-04]  [3 -17 73]
 NS 11-1  4.254e+01  [0 1.000e+00 1.626e+02 3.276e-04]  [2 -17 43]
 NS 11-2  4.343e+01  [-69 3.300e-04 5.366e-02 2.096e-04]  [4 -17 79]
 NS 11-3  4.417e+01  [-124 6.295e-07 1.023e-04 5.392e-04]  [3 -17 73]
 NS 11-4  4.494e+01  [-179 1.027e-09 1.669e-07 7.946e-04]  [3 -18 75]
 NS 11-5  4.574e+01  [-233 2.191e-12 3.563e-10 7.736e-04]  [3 -17 75]
 NS 12-1  4.629e+01  [0 1.000e+00 1.849e+02 3.069e-04]  [2 -18 66]
 NS 12-2  4.719e+01  [-70 3.106e-04 5.742e-02 1.942e-04]  [4 -17 78]
 NS 12-3  4.787e+01  [-123 6.841e-07 1.265e-04 5.128e-04]  [3 -17 72]
 NS 12-4  4.865e+01  [-177 1.271e-09 2.351e-07 7.290e-04]  [3 -18 75]
