---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  1.014e+00  [0 1.000e+00 1.000e+00 2.984e-04]  [5 -17 82]
 NS 1-2  1.886e+00  [-68 3.968e-04 3.968e-04 1.909e-04]  [4 -17 79]
 NS 1-3  2.737e+00  [-140 9.097e-08 9.097e-08 2.974e-04]  [4 -17 79]
 NS 1-4  3.509e+00  [-210 2.932e-11 2.932e-11 3.216e-04]  [4 -15 75]
 NS 1-5  4.180e+00  [-250 3.105e-13 3.105e-13 2.732e-04]  [3 -16 72]
 NS 2-1  4.930e+00  [0 1.000e+00 3.515e+01 2.012e-04]  [3 -16 76]
 NS 2-2  5.765e+00  [-73 2.027e-04 7.124e-03 2.372e-04]  [4 -18 78]
 NS 2-3  6.606e+00  [-145 5.408e-08 1.901e-06 2.100e-04]  [4 -18 77]
 NS 2-4  7.437e+00  [-217 1.297e-11 4.558e-10 2.378e-04]  [4 -16 77]
 NS 2-5s 8.148e+00  [-285 5.375e-15 1.889e-13 2.127e-04]  [4 -16 71]
 NS 3-1  9.275e+00  [0 1.000e+00 3.487e+01 4.168e-04]  [3 -17 53]
 NS 3-2  1.009e+01  [-67 4.179e-04 1.457e-02 2.333e-04]  [4 -17 79]
 NS 3-3  1.093e+01  [-137 1.330e-07 4.639e-06 2.198e-04]  [4 -17 79]
 NS 3-4  1.175e+01  [-208 3.645e-11 1.271e-09 2.839e-04]  [4 -16 77]
 NS 3-5  1.259e+01  [-273 2.156e-14 7.516e-13 1.985e-04]  [4 -16 76]
 NS 4-1  1.315e+01  [0 1.000e+00 4.198e+01 9.140e-04]  [2 -18 67]
 NS 4-2  1.398e+01  [-60 9.140e-04 3.837e-02 2.743e-04]  [4 -19 77]
 NS 4-3  1.484e+01  [-128 3.809e-07 1.599e-05 2.034e-04]  [4 -18 78]
 NS 4-4  1.572e+01  [-198 1.183e-10 4.966e-09 2.239e-04]  [4 -16 78]
 NS 4-5s 1.654e+01  [-266 4.605e-14 1.933e-12 2.448e-04]  [4 -16 76]
 NS 5-1  1.760e+01  [0 1.000e+00 4.932e+01 2.541e-04]  [3 -17 53]
 NS 5-2  1.845e+01  [-71 2.546e-04 1.256e-02 2.462e-04]  [4 -19 79]
 NS 5-3  1.918e+01  [-136 1.550e-07 7.644e-06 9.988e-04]  [3 -17 74]
 NS 5-4  2.002e+01  [-195 1.627e-10 8.025e-09 2.460e-04]  [4 -17 77]
 NS 5-5  2.083e+01  [-257 1.390e-13 6.856e-12 2.304e-04]  [4 -16 74]
 NS 6-1  2.138e+01  [0 1.000e+00 6.341e+01 6.030e-04]  [2 -15 68]
 NS 6-2  2.217e+01  [-64 6.051e-04 3.837e-02 2.502e-04]  [4 -15 76]
 NS 6-3  2.291e+01  [-124 6.235e-07 3.954e-05 6.892e-04]  [3 -18 75]
 NS 6-4  2.372e+01  [-185 5.120e-10 3.247e-08 3.097e-04]  [4 -16 78]
 NS 6-5s 2.430e+01  [-246 4.840e-13 3.069e-11 9.742e-04]  [3 -16 68]
 NS 7-1  2.521e+01  [0 1.000e+00 8.119e+01 6.477e-04]  [2 -15 44]
 NS 7-2  2.599e+01  [-63 6.476e-04 5.258e-02 2.653e-04]  [4 -17 77]
 NS 7-3  2.669e+01  [-122 7.089e-07 5.756e-05 5.775e-04]  [3 -18 74]
 NS 7-4  2.755e+01  [-184 5.796e-10 4.706e-08 2.248e-04]  [4 -17 78]
 NS 7-5  2.822e+01  [-244 5.913e-13 4.801e-11 9.856e-04]  [3 -16 69]
 NS 8-1  2.877e+01  [0 1.000e+00 1.002e+02 3.169e-04]  [2 -18 65]
