---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  1.250e+00  [0 1.000e+00 1.000e+00 2.896e-04]  [5 -17 84]
 NS 1-2  2.085e+00  [-68 3.932e-04 3.932e-04 9.688e-04]  [3 -16 77]
 NS 1-3  3.022e+00  [-128 3.831e-07 3.831e-07 1.997e-04]  [4 -20 79]
 NS 1-4  4.061e+00  [-200 9.124e-11 9.124e-11 2.417e-04]  [4 -17 83]
 NS 1-5  4.903e+00  [-249 3.370e-13 3.370e-13 2.926e-04]  [3 -18 75]
 NS 2-1  5.807e+00  [0 1.000e+00 3.589e+01 1.954e-04]  [3 -16 78]
 NS 2-2  6.870e+00  [-74 1.968e-04 7.064e-03 2.472e-04]  [4 -17 81]
 NS 2-3  7.952e+00  [-145 5.505e-08 1.976e-06 2.145e-04]  [4 -18 81]
 NS 2-4  8.936e+00  [-217 1.341e-11 4.812e-10 2.491e-04]  [4 -15 80]
 NS 2-5s 9.803e+00  [-281 8.451e-15 3.033e-13 7.866e-04]  [3 -15 76]
 NS 3-1  1.107e+01  [0 1.000e+00 3.555e+01 3.997e-04]  [3 -17 56]
 NS 3-2  1.197e+01  [-67 4.008e-04 1.425e-02 2.385e-04]  [4 -18 79]
 NS 3-3  1.311e+01  [-137 1.274e-07 4.530e-06 2.204e-04]  [4 -16 83]
 NS 3-4  1.417e+01  [-209 3.399e-11 1.208e-09 2.618e-04]  [4 -16 81]
 NS 3-5  1.505e+01  [-274 1.955e-14 6.951e-13 9.314e-04]  [3 -16 76]
 NS 4-1  1.579e+01  [0 1.000e+00 4.292e+01 8.698e-04]  [2 -19 73]
 NS 4-2  1.686e+01  [-61 8.700e-04 3.734e-02 2.820e-04]  [4 -18 82]
 NS 4-3  1.798e+01  [-128 3.567e-07 1.531e-05 1.816e-04]  [4 -18 81]
 NS 4-4  1.909e+01  [-199 1.089e-10 4.673e-09 2.277e-04]  [4 -16 83]
 NS 4-5s 2.015e+01  [-267 4.334e-14 1.860e-12 2.065e-04]  [4 -18 80]
 NS 5-1  2.135e+01  [0 1.000e+00 4.965e+01 2.461e-04]  [3 -17 55]
 NS 5-2  2.240e+01  [-72 2.465e-04 1.224e-02 2.378e-04]  [4 -19 80]
 NS 5-3  2.326e+01  [-136 1.509e-07 7.490e-06 8.580e-04]  [3 -17 77]
 NS 5-4  2.431e+01  [-197 1.385e-10 6.875e-09 2.515e-04]  [4 -18 81]
 NS 5-5  2.518e+01  [-259 1.069e-13 5.308e-12 8.744e-04]  [3 -17 77]
 NS 6-1  2.594e+01  [0 1.000e+00 6.404e+01 6.091e-04]  [2 -15 74]
 NS 6-2  2.698e+01  [-64 6.114e-04 3.915e-02 2.511e-04]  [4 -15 83]
 NS 6-3  2.790e+01  [-124 6.164e-07 3.947e-05 6.735e-04]  [3 -18 79]
 NS 6-4  2.897e+01  [-186 4.901e-10 3.138e-08 2.428e-04]  [4 -17 82]
 NS 6-5s 2.982e+01  [-247 4.276e-13 2.738e-11 8.505e-04]  [3 -16 79]
 NS 7-1  3.087e+01  [0 1.000e+00 8.166e+01 6.609e-04]  [2 -15 49]
