---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  1.348e+00  [0 1.000e+00 1.000e+00 2.923e-04]  [5 -17 84]
 NS 1-2  2.293e+00  [-64 6.226e-04 6.226e-04 8.381e-04]  [3 -17 79]
 NS 1-3  3.384e+00  [-125 5.370e-07 5.370e-07 2.198e-04]  [4 -19 82]
 NS 1-4  4.534e+00  [-196 1.509e-10 1.509e-10 2.486e-04]  [4 -16 81]
 NS 1-5  5.368e+00  [-248 3.574e-13 3.574e-13 4.321e-04]  [3 -16 73]
 NS 2-1  6.302e+00  [0 1.000e+00 3.647e+01 1.953e-04]  [3 -16 78]
 NS 2-2  7.380e+00  [-73 1.999e-04 7.291e-03 2.836e-04]  [4 -16 80]
 NS 2-3  8.513e+00  [-143 6.602e-08 2.408e-06 2.017e-04]  [4 -17 82]
 NS 2-4  9.563e+00  [-214 1.791e-11 6.531e-10 2.428e-04]  [4 -15 81]
 NS 2-5s 1.053e+01  [-283 6.824e-15 2.489e-13 2.094e-04]  [4 -16 78]
 NS 3-1  1.186e+01  [0 1.000e+00 3.574e+01 4.057e-04]  [3 -17 56]
 NS 3-2  1.301e+01  [-67 4.100e-04 1.465e-02 2.181e-04]  [4 -17 82]
 NS 3-3  1.406e+01  [-137 1.312e-07 4.691e-06 2.019e-04]  [4 -16 82]
 NS 3-4  1.514e+01  [-208 3.910e-11 1.398e-09 2.530e-04]  [4 -15 81]
 NS 3-5  1.612e+01  [-273 2.085e-14 7.454e-13 9.677e-04]  [3 -16 77]
 NS 4-1  1.685e+01  [0 1.000e+00 4.385e+01 9.178e-04]  [2 -18 71]
 NS 4-2  1.788e+01  [-60 9.191e-04 4.030e-02 2.908e-04]  [4 -18 80]
 NS 4-3  1.896e+01  [-126 4.485e-07 1.967e-05 1.857e-04]  [4 -17 81]
 NS 4-4  1.993e+01  [-195 1.665e-10 7.300e-09 8.151e-04]  [3 -17 79]
 NS 4-5s 2.104e+01  [-256 1.501e-13 6.581e-12 2.153e-04]  [4 -19 81]
 NS 5-1  2.228e+01  [0 1.000e+00 4.824e+01 2.583e-04]  [3 -17 56]
 NS 5-2  2.343e+01  [-71 2.631e-04 1.269e-02 2.448e-04]  [4 -18 83]
 NS 5-3  2.437e+01  [-135 1.638e-07 7.899e-06 8.902e-04]  [3 -17 78]
 NS 5-4  2.550e+01  [-196 1.559e-10 7.519e-09 2.935e-04]  [4 -17 81]
 NS 5-5  2.633e+01  [-257 1.343e-13 6.480e-12 9.952e-04]  [3 -17 75]
 NS 6-1  2.711e+01  [0 1.000e+00 6.309e+01 6.307e-04]  [2 -15 74]
 NS 6-2  2.829e+01  [-63 6.342e-04 4.001e-02 2.596e-04]  [4 -16 83]
 NS 6-3  2.918e+01  [-120 9.841e-07 6.209e-05 6.006e-04]  [3 -17 76]
