---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  9.630e-01  [0 1.000e+00 1.000e+00 2.727e-04]  [5 -17 80]
 NS 1-2  1.741e+00  [-68 3.758e-04 3.758e-04 2.297e-04]  [4 -17 76]
 NS 1-3  2.493e+00  [-140 9.949e-08 9.949e-08 2.939e-04]  [4 -16 76]
 NS 1-4  3.262e+00  [-209 3.176e-11 3.176e-11 3.019e-04]  [4 -15 77]
 NS 1-5  3.810e+00  [-250 3.017e-13 3.017e-13 2.499e-04]  [3 -16 67]
 NS 2-1  4.388e+00  [0 1.000e+00 3.387e+01 9.945e-04]  [2 -17 68]
 NS 2-2  5.196e+00  [-60 9.954e-04 3.371e-02 2.573e-04]  [4 -17 78]
 NS 2-3  6.008e+00  [-130 2.900e-07 9.823e-06 2.242e-04]  [4 -18 78]
 NS 2-4  6.783e+00  [-202 7.118e-11 2.411e-09 2.578e-04]  [4 -16 77]
 NS 2-5s 7.536e+00  [-273 2.135e-14 7.230e-13 2.978e-04]  [4 -17 75]
 NS 3-1  8.559e+00  [0 1.000e+00 3.369e+01 3.977e-04]  [3 -17 48]
 NS 3-2  9.426e+00  [-67 3.990e-04 1.344e-02 2.225e-04]  [4 -18 79]
 NS 3-3  1.019e+01  [-138 1.219e-07 4.105e-06 2.374e-04]  [4 -17 78]
 NS 3-4  1.096e+01  [-208 3.833e-11 1.291e-09 2.660e-04]  [4 -15 79]
 NS 3-5  1.178e+01  [-274 1.955e-14 6.587e-13 2.175e-04]  [4 -16 77]
 NS 4-1  1.239e+01  [0 1.000e+00 4.044e+01 8.837e-04]  [2 -19 71]
 NS 4-2  1.324e+01  [-61 8.838e-04 3.574e-02 2.910e-04]  [4 -18 79]
 NS 4-3  1.406e+01  [-128 3.686e-07 1.490e-05 1.855e-04]  [4 -18 78]
 NS 4-4  1.489e+01  [-198 1.128e-10 4.563e-09 2.167e-04]  [4 -16 77]
 NS 4-5s 1.571e+01  [-267 4.233e-14 1.712e-12 2.151e-04]  [4 -17 76]
 NS 5-1  1.670e+01  [0 1.000e+00 4.778e+01 2.416e-04]  [3 -17 49]
 NS 5-2  1.739e+01  [-72 2.423e-04 1.157e-02 2.503e-04]  [4 -18 74]
 NS 5-3  1.808e+01  [-136 1.415e-07 6.760e-06 8.550e-04]  [3 -17 74]
 NS 5-4  1.889e+01  [-197 1.273e-10 6.080e-09 2.696e-04]  [4 -17 77]
 NS 5-5  1.956e+01  [-261 8.810e-14 4.209e-12 8.629e-04]  [3 -17 71]
 NS 6-1  2.011e+01  [0 1.000e+00 6.130e+01 5.999e-04]  [2 -15 64]
 NS 6-2  2.090e+01  [-64 6.020e-04 3.690e-02 2.702e-04]  [4 -16 76]
 NS 6-3  2.160e+01  [-124 6.124e-07 3.754e-05 6.431e-04]  [3 -18 75]
 NS 6-4  2.244e+01  [-186 4.789e-10 2.936e-08 2.407e-04]  [4 -17 78]
 NS 6-5s 2.314e+01  [-247 4.059e-13 2.488e-11 7.881e-04]  [3 -16 74]
 NS 7-1  2.403e+01  [0 1.000e+00 7.861e+01 6.495e-04]  [2 -15 40]
 NS 7-2  2.477e+01  [-63 6.493e-04 5.105e-02 2.540e-04]  [4 -17 79]
 NS 7-3  2.549e+01  [-122 7.287e-07 5.729e-05 5.929e-04]  [3 -18 76]
 NS 7-4  2.633e+01  [-184 6.005e-10 4.720e-08 1.972e-04]  [4 -18 79]
 NS 7-5  2.702e+01  [-245 5.116e-13 4.022e-11 6.969e-04]  [3 -16 72]
 NS 8-1  2.759e+01  [0 1.000e+00 9.700e+01 3.102e-04]  [2 -18 68]
 NS 8-2  2.837e+01  [-70 3.124e-04 3.031e-02 2.440e-04]  [4 -17 77]
 NS 8-3  2.909e+01  [-127 4.005e-07 3.885e-05 5.427e-04]  [3 -17 75]
 NS 8-4  2.978e+01  [-187 4.055e-10 3.934e-08 9.806e-04]  [3 -17 74]
 NS 8-5s 3.061e+01  [-245 5.360e-13 5.199e-11 2.506e-04]  [4 -18 77]
 NS 9-1  3.140e+01  [0 1.000e+00 1.178e+02 3.914e-04]  [2 -17 37]
 NS 9-2  3.224e+01  [-68 3.921e-04 4.619e-02 2.538e-04]  [4 -17 79]
 NS 9-3  3.295e+01  [-124 5.993e-07 7.059e-05 5.951e-04]  [3 -18 74]
 NS 9-4  3.366e+01  [-183 6.917e-10 8.148e-08 9.368e-04]  [3 -18 75]
 NS 9-5  3.446e+01  [-239 1.004e-12 1.183e-10 2.030e-04]  [4 -17 77]
 NS 10-1  3.503e+01  [0 1.000e+00 1.386e+02 3.084e-04]  [2 -18 69]
 NS 10-2  3.585e+01  [-70 3.107e-04 4.307e-02 1.946e-04]  [4 -17 78]
 NS 10-3  3.653e+01  [-125 5.108e-07 7.081e-05 5.023e-04]  [3 -17 73]
 NS 10-4  3.724e+01  [-182 7.198e-10 9.979e-08 8.325e-04]  [3 -18 74]
 NS 10-5s 3.799e+01  [-238 1.218e-12 1.688e-10 1.808e-04]  [4 -17 74]
 NS 11-1  3.880e+01  [0 1.000e+00 1.607e+02 3.290e-04]  [2 -18 38]
 NS 11-2  3.959e+01  [-69 3.312e-04 5.322e-02 2.224e-04]  [4 -17 78]
 NS 11-3  4.029e+01  [-123 6.704e-07 1.077e-04 5.372e-04]  [3 -17 74]
 NS 11-4  4.100e+01  [-179 1.087e-09 1.747e-07 7.512e-04]  [3 -18 75]
 NS 11-5  4.171e+01  [-233 2.011e-12 3.232e-10 8.739e-04]  [3 -17 73]
 NS 12-1  4.227e+01  [0 1.000e+00 1.827e+02 3.084e-04]  [2 -18 68]
 NS 12-2  4.309e+01  [-70 3.117e-04 5.696e-02 2.047e-04]  [4 -17 78]
 NS 12-3  4.384e+01  [-122 7.228e-07 1.321e-04 4.907e-04]  [3 -17 76]
 NS 12-4  4.456e+01  [-177 1.340e-09 2.448e-07 6.810e-04]  [3 -19 75]
 NS 12-5s 4.520e+01  [-230 2.993e-12 5.470e-10 7.390e-04]  [3 -17 72]
 NS 13-1  4.603e+01  [0 1.000e+00 2.053e+02 3.105e-04]  [2 -18 39]
