---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  9.430e-01  [0 1.000e+00 1.000e+00 2.850e-04]  [5 -17 79]
 NS 1-2  1.643e+00  [-68 3.919e-04 3.919e-04 9.444e-04]  [3 -17 74]
 NS 1-3  2.480e+00  [-128 3.732e-07 3.732e-07 2.099e-04]  [4 -20 78]
 NS 1-4  3.328e+00  [-200 9.015e-11 9.015e-11 2.614e-04]  [4 -16 79]
 NS 1-5  3.997e+00  [-249 3.274e-13 3.274e-13 2.970e-04]  [3 -17 71]
 NS 2-1  4.729e+00  [0 1.000e+00 3.534e+01 1.979e-04]  [3 -16 75]
 NS 2-2  5.567e+00  [-74 1.993e-04 7.044e-03 2.465e-04]  [4 -17 79]
 NS 2-3  6.362e+00  [-145 5.527e-08 1.954e-06 2.180e-04]  [4 -18 77]
 NS 2-4  7.161e+00  [-217 1.398e-11 4.941e-10 2.303e-04]  [4 -16 78]
 NS 2-5s 7.822e+00  [-282 7.280e-15 2.573e-13 8.357e-04]  [3 -16 71]
 NS 3-1  8.872e+00  [0 1.000e+00 3.511e+01 4.066e-04]  [3 -17 51]
 NS 3-2  9.696e+00  [-67 4.077e-04 1.431e-02 2.101e-04]  [4 -17 79]
 NS 3-3  1.053e+01  [-138 1.193e-07 4.190e-06 2.294e-04]  [4 -16 77]
 NS 3-4  1.138e+01  [-209 3.491e-11 1.226e-09 2.818e-04]  [4 -16 78]
 NS 3-5  1.204e+01  [-273 2.188e-14 7.683e-13 8.868e-04]  [3 -16 71]
 NS 4-1  1.259e+01  [0 1.000e+00 4.219e+01 9.073e-04]  [2 -18 67]
 NS 4-2  1.331e+01  [-60 9.075e-04 3.829e-02 2.675e-04]  [4 -18 75]
 NS 4-3  1.415e+01  [-128 3.586e-07 1.513e-05 2.060e-04]  [4 -18 79]
 NS 4-4  1.501e+01  [-198 1.147e-10 4.840e-09 2.459e-04]  [4 -16 78]
 NS 4-5s 1.588e+01  [-266 4.837e-14 2.041e-12 2.494e-04]  [4 -16 78]
 NS 5-1  1.689e+01  [0 1.000e+00 4.984e+01 2.462e-04]  [3 -17 51]
 NS 5-2  1.774e+01  [-72 2.467e-04 1.230e-02 2.354e-04]  [4 -19 78]
 NS 5-3  1.843e+01  [-136 1.431e-07 7.132e-06 9.509e-04]  [3 -17 74]
 NS 5-4  1.931e+01  [-196 1.427e-10 7.115e-09 2.983e-04]  [4 -17 78]
 NS 5-5  2.011e+01  [-258 1.249e-13 6.227e-12 2.226e-04]  [4 -15 77]
 NS 6-1  2.061e+01  [0 1.000e+00 6.399e+01 6.155e-04]  [2 -15 67]
 NS 6-2  2.145e+01  [-64 6.176e-04 3.952e-02 2.440e-04]  [4 -16 78]
 NS 6-3  2.214e+01  [-124 6.186e-07 3.958e-05 7.104e-04]  [3 -18 74]
 NS 6-4  2.296e+01  [-186 4.932e-10 3.156e-08 2.745e-04]  [4 -17 77]
 NS 6-5s 2.370e+01  [-247 4.122e-13 2.638e-11 8.831e-04]  [3 -16 73]
 NS 7-1  2.458e+01  [0 1.000e+00 8.205e+01 6.530e-04]  [2 -15 42]
 NS 7-2  2.542e+01  [-63 6.528e-04 5.357e-02 2.351e-04]  [4 -18 78]
 NS 7-3  2.611e+01  [-123 7.012e-07 5.754e-05 5.866e-04]  [3 -18 72]
 NS 7-4  2.697e+01  [-185 5.616e-10 4.608e-08 2.146e-04]  [4 -17 79]
 NS 7-5  2.765e+01  [-245 5.494e-13 4.508e-11 8.733e-04]  [3 -16 71]
 NS 8-1  2.820e+01  [0 1.000e+00 1.012e+02 3.093e-04]  [2 -18 69]
 NS 8-2  2.902e+01  [-70 3.115e-04 3.154e-02 2.242e-04]  [4 -17 78]
 NS 8-3  2.971e+01  [-128 3.777e-07 3.824e-05 5.579e-04]  [3 -17 74]
 NS 8-4  3.055e+01  [-189 3.516e-10 3.560e-08 2.006e-04]  [4 -17 79]
 NS 8-5s 3.128e+01  [-246 4.918e-13 4.979e-11 7.008e-04]  [3 -16 75]
 NS 9-1  3.210e+01  [0 1.000e+00 1.230e+02 3.902e-04]  [2 -17 41]
 NS 9-2  3.284e+01  [-68 3.909e-04 4.807e-02 2.514e-04]  [4 -17 75]
 NS 9-3  3.353e+01  [-125 5.491e-07 6.752e-05 6.170e-04]  [3 -18 73]
 NS 9-4  3.434e+01  [-184 6.071e-10 7.464e-08 1.786e-04]  [4 -18 77]
 NS 9-5  3.500e+01  [-240 9.218e-13 1.133e-10 6.301e-04]  [3 -16 69]
 NS 10-1  3.553e+01  [0 1.000e+00 1.447e+02 3.064e-04]  [2 -18 67]
 NS 10-2  3.620e+01  [-70 3.086e-04 4.465e-02 9.739e-04]  [3 -19 72]
 NS 10-3  3.689e+01  [-125 5.389e-07 7.798e-05 9.424e-04]  [3 -17 73]
 NS 10-4  3.772e+01  [-181 8.582e-10 1.242e-07 2.230e-04]  [4 -18 78]
 NS 10-5s 3.846e+01  [-236 1.471e-12 2.128e-10 6.477e-04]  [3 -16 75]
 NS 11-1  3.927e+01  [0 1.000e+00 1.677e+02 3.273e-04]  [2 -18 39]
 NS 11-2  4.006e+01  [-69 3.294e-04 5.526e-02 2.175e-04]  [4 -17 78]
 NS 11-3  4.075e+01  [-124 5.999e-07 1.006e-04 5.873e-04]  [3 -17 73]
 NS 11-4  4.142e+01  [-180 9.105e-10 1.527e-07 9.095e-04]  [3 -18 73]
 NS 11-5  4.209e+01  [-232 2.239e-12 3.756e-10 8.256e-04]  [3 -17 70]
 NS 12-1  4.266e+01  [0 1.000e+00 1.907e+02 3.065e-04]  [2 -18 69]
 NS 12-2  4.352e+01  [-70 3.097e-04 5.907e-02 1.967e-04]  [4 -17 80]
 NS 12-3  4.422e+01  [-123 6.437e-07 1.228e-04 5.440e-04]  [3 -17 74]
 NS 12-4  4.490e+01  [-179 1.113e-09 2.123e-07 8.397e-04]  [3 -18 73]
 NS 12-5s 4.563e+01  [-229 3.281e-12 6.257e-10 7.327e-04]  [3 -17 74]
 NS 13-1  4.658e+01  [0 1.000e+00 2.142e+02 3.086e-04]  [2 -18 47]
 NS 13-2  4.740e+01  [-70 3.124e-04 6.694e-02 2.038e-04]  [4 -17 77]
 NS 13-3  4.805e+01  [-122 7.644e-07 1.638e-04 5.585e-04]  [3 -17 71]
 NS 13-4  4.872e+01  [-176 1.485e-09 3.182e-07 7.987e-04]  [3 -18 72]
 NS 13-5  4.938e+01  [-226 4.964e-12 1.064e-09 7.203e-04]  [3 -17 70]
 NS 14-1  4.992e+01  [0 1.000e+00 2.377e+02 3.022e-04]  [2 -18 68]
 NS 14-2  5.078e+01  [-70 3.071e-04 7.299e-02 1.984e-04]  [4 -17 79]
 NS 14-3  5.150e+01  [-121 8.631e-07 2.051e-04 5.437e-04]  [3 -17 76]
 NS 14-4  5.224e+01  [-174 1.877e-09 4.462e-07 7.619e-04]  [3 -18 77]
 NS 14-5s 5.301e+01  [-222 7.289e-12 1.732e-09 7.202e-04]  [3 -16 76]
 NS 15-1  5.389e+01  [0 1.000e+00 2.612e+02 3.013e-04]  [2 -18 45]
 NS 15-2  5.475e+01  [-70 3.072e-04 8.024e-02 1.990e-04]  [4 -17 79]
 NS 15-3  5.543e+01  [-120 9.951e-07 2.599e-04 5.476e-04]  [3 -17 73]
 NS 15-4  5.614e+01  [-172 2.408e-09 6.290e-07 7.357e-04]  [3 -18 74]
 NS 15-5  5.681e+01  [-219 1.059e-11 2.765e-09 7.425e-04]  [3 -16 71]
 NS 16-1  5.736e+01  [0 1.000e+00 2.846e+02 2.989e-04]  [2 -18 67]
 NS 16-2  5.815e+01  [-70 3.061e-04 8.711e-02 1.976e-04]  [4 -17 77]
 NS 16-3  5.885e+01  [-118 1.132e-06 3.220e-04 5.413e-04]  [3 -17 74]
 NS 16-4  5.954e+01  [-170 3.038e-09 8.645e-07 7.113e-04]  [3 -18 74]
 NS 16-5s 6.024e+01  [-216 1.516e-11 4.315e-09 7.616e-04]  [3 -16 71]
 NS 17-1  6.111e+01  [0 1.000e+00 3.078e+02 2.983e-04]  [2 -18 41]
 NS 17-2  6.197e+01  [-70 3.067e-04 9.441e-02 1.975e-04]  [4 -17 76]
 NS 17-3  6.265e+01  [-117 1.288e-06 3.963e-04 5.396e-04]  [3 -17 72]
 NS 17-4  6.334e+01  [-168 3.812e-09 1.173e-06 6.873e-04]  [3 -17 73]
