---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  8.870e-01  [0 1.000e+00 1.000e+00 2.886e-04]  [5 -17 82]
 NS 1-2  1.640e+00  [-68 3.929e-04 3.929e-04 2.022e-04]  [4 -17 80]
 NS 1-3  2.474e+00  [-140 9.197e-08 9.197e-08 3.048e-04]  [4 -16 80]
 NS 1-4  3.218e+00  [-210 2.994e-11 2.994e-11 2.753e-04]  [4 -16 78]
 NS 1-5  3.658e+00  [-247 4.248e-13 4.248e-13 9.210e-04]  [2 -18 59]
 NS 2-1  4.284e+00  [0 1.000e+00 3.595e+01 1.984e-04]  [3 -16 73]
 NS 2-2  5.053e+00  [-73 1.998e-04 7.183e-03 2.585e-04]  [4 -17 78]
 NS 2-3  5.828e+00  [-144 5.749e-08 2.066e-06 2.521e-04]  [4 -17 78]
 NS 2-4  6.539e+00  [-215 1.594e-11 5.729e-10 2.702e-04]  [4 -15 76]
 NS 2-5s 7.287e+00  [-284 6.308e-15 2.267e-13 2.650e-04]  [4 -17 76]
 NS 3-1  8.302e+00  [0 1.000e+00 3.563e+01 4.060e-04]  [3 -17 53]
 NS 3-2  9.002e+00  [-67 4.070e-04 1.450e-02 2.374e-04]  [4 -17 78]
 NS 3-3  9.806e+00  [-137 1.266e-07 4.512e-06 2.347e-04]  [4 -16 79]
 NS 3-4  1.050e+01  [-209 3.503e-11 1.248e-09 2.781e-04]  [4 -15 75]
 NS 3-5  1.120e+01  [-274 1.987e-14 7.081e-13 9.799e-04]  [3 -17 75]
 NS 4-1  1.172e+01  [0 1.000e+00 4.294e+01 8.978e-04]  [2 -18 64]
 NS 4-2  1.256e+01  [-60 8.979e-04 3.856e-02 2.788e-04]  [4 -18 78]
 NS 4-3  1.340e+01  [-128 3.642e-07 1.564e-05 2.030e-04]  [4 -18 78]
 NS 4-4  1.427e+01  [-198 1.138e-10 4.889e-09 2.168e-04]  [4 -16 79]
 NS 4-5s 1.515e+01  [-266 4.538e-14 1.949e-12 2.598e-04]  [4 -15 79]
 NS 5-1  1.612e+01  [0 1.000e+00 5.021e+01 2.486e-04]  [3 -17 50]
 NS 5-2  1.700e+01  [-72 2.491e-04 1.251e-02 2.475e-04]  [4 -19 80]
 NS 5-3  1.771e+01  [-136 1.421e-07 7.137e-06 9.236e-04]  [3 -17 76]
 NS 5-4  1.858e+01  [-197 1.380e-10 6.927e-09 2.408e-04]  [4 -18 78]
 NS 5-5  1.914e+01  [-258 1.150e-13 5.776e-12 9.100e-04]  [3 -16 65]
 NS 6-1  1.993e+01  [0 1.000e+00 6.463e+01 6.003e-04]  [2 -15 75]
 NS 6-2  2.093e+01  [-64 6.025e-04 3.894e-02 2.639e-04]  [4 -15 81]
 NS 6-3  2.183e+01  [-124 6.027e-07 3.895e-05 6.581e-04]  [3 -18 77]
