---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  5.870e-01  [0 1.000e+00 1.000e+00 3.567e-04]  [5 -16 79]
 NS 1-2  1.123e+00  [-64 5.789e-04 5.789e-04 2.028e-04]  [4 -16 76]
 NS 1-3  1.658e+00  [-137 1.346e-07 1.346e-07 3.675e-04]  [4 -16 76]
 NS 1-4  2.142e+00  [-205 5.342e-11 5.342e-11 3.402e-04]  [4 -16 73]
 NS 1-5  2.548e+00  [-250 3.060e-13 3.060e-13 2.928e-04]  [3 -17 67]
 NS 2-1  2.991e+00  [0 1.000e+00 3.460e+01 2.867e-04]  [3 -16 71]
 NS 2-2  3.514e+00  [-70 2.904e-04 1.005e-02 2.547e-04]  [4 -17 76]
 NS 2-3  4.040e+00  [-140 9.207e-08 3.186e-06 3.273e-04]  [4 -16 76]
 NS 2-4  4.565e+00  [-209 3.325e-11 1.151e-09 3.266e-04]  [4 -15 76]
 NS 2-5  5.059e+00  [-278 1.228e-14 4.248e-13 3.494e-04]  [4 -16 72]
 NS 3-1  5.499e+00  [0 1.000e+00 3.406e+01 4.825e-04]  [3 -17 71]
 NS 3-2  6.031e+00  [-66 4.848e-04 1.651e-02 2.752e-04]  [4 -17 76]
 NS 3-3  6.555e+00  [-135 1.755e-07 5.978e-06 2.526e-04]  [4 -17 76]
 NS 3-4  7.045e+00  [-205 5.472e-11 1.864e-09 3.416e-04]  [4 -16 74]
 NS 3-5  7.534e+00  [-271 2.591e-14 8.824e-13 3.073e-04]  [4 -16 72]
 NS 4-1  7.976e+00  [0 1.000e+00 4.080e+01 2.253e-04]  [3 -16 71]
 NS 4-2  8.496e+00  [-72 2.377e-04 9.699e-03 2.831e-04]  [4 -17 76]
 NS 4-3  9.023e+00  [-138 1.133e-07 4.625e-06 2.703e-04]  [4 -16 76]
 NS 4-4  9.547e+00  [-207 4.341e-11 1.771e-09 2.707e-04]  [4 -16 75]
 NS 4-5  1.005e+01  [-272 2.328e-14 9.499e-13 2.441e-04]  [4 -15 72]
 NS 5-1  1.050e+01  [0 1.000e+00 4.930e+01 2.558e-04]  [3 -17 72]
 NS 5-2  1.104e+01  [-71 2.584e-04 1.274e-02 2.807e-04]  [4 -17 75]
 NS 5-3  1.158e+01  [-136 1.547e-07 7.628e-06 1.917e-04]  [4 -17 76]
 NS 5-4  1.210e+01  [-204 5.701e-11 2.810e-09 2.687e-04]  [4 -16 74]
 NS 5-5s 1.261e+01  [-270 3.102e-14 1.529e-12 2.857e-04]  [4 -16 73]
 NS 6-1  1.324e+01  [0 1.000e+00 6.310e+01 5.653e-04]  [2 -15 37]
 NS 6-2  1.375e+01  [-64 5.682e-04 3.585e-02 2.765e-04]  [4 -15 75]
 NS 6-3  1.419e+01  [-123 7.015e-07 4.426e-05 6.134e-04]  [3 -17 72]
 NS 6-4  1.470e+01  [-185 5.363e-10 3.384e-08 3.019e-04]  [4 -17 75]
 NS 6-5  1.518e+01  [-247 4.229e-13 2.668e-11 2.269e-04]  [4 -16 72]
 NS 7-1  1.555e+01  [0 1.000e+00 8.150e+01 6.331e-04]  [2 -15 65]
 NS 7-2  1.606e+01  [-63 6.332e-04 5.161e-02 2.835e-04]  [4 -16 76]
 NS 7-3  1.650e+01  [-120 9.703e-07 7.908e-05 5.677e-04]  [3 -17 71]
