---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  7.550e-01  [0 1.000e+00 1.000e+00 3.529e-04]  [5 -17 80]
 NS 1-2  1.415e+00  [-63 7.012e-04 7.012e-04 1.991e-04]  [4 -17 77]
 NS 1-3  2.056e+00  [-135 1.647e-07 1.647e-07 2.853e-04]  [4 -17 76]
 NS 1-4  2.696e+00  [-205 5.572e-11 5.572e-11 3.695e-04]  [4 -15 76]
 NS 1-5  3.213e+00  [-248 3.626e-13 3.626e-13 3.071e-04]  [3 -17 68]
 NS 2-1  3.765e+00  [0 1.000e+00 3.632e+01 2.859e-04]  [3 -16 72]
 NS 2-2  4.411e+00  [-70 2.909e-04 1.057e-02 2.626e-04]  [4 -15 76]
 NS 2-3  5.063e+00  [-140 9.113e-08 3.310e-06 3.371e-04]  [4 -16 76]
 NS 2-4  5.718e+00  [-208 3.555e-11 1.291e-09 3.427e-04]  [4 -14 76]
 NS 2-5  6.360e+00  [-276 1.441e-14 5.233e-13 4.246e-04]  [4 -15 75]
 NS 3-1  6.917e+00  [0 1.000e+00 3.522e+01 5.143e-04]  [3 -16 72]
 NS 3-2  7.561e+00  [-65 5.178e-04 1.824e-02 2.355e-04]  [4 -16 76]
 NS 3-3  8.213e+00  [-135 1.655e-07 5.828e-06 2.821e-04]  [4 -17 76]
 NS 3-4  8.862e+00  [-204 6.055e-11 2.133e-09 3.149e-04]  [4 -14 76]
 NS 3-5  9.455e+00  [-270 2.896e-14 1.020e-12 3.032e-04]  [4 -16 72]
 NS 4-1  1.000e+01  [0 1.000e+00 4.271e+01 2.306e-04]  [3 -16 72]
 NS 4-2  1.065e+01  [-72 2.477e-04 1.058e-02 3.082e-04]  [4 -16 76]
 NS 4-3  1.131e+01  [-138 1.201e-07 5.129e-06 2.795e-04]  [4 -17 77]
 NS 4-4  1.196e+01  [-204 5.770e-11 2.464e-09 2.554e-04]  [4 -15 76]
 NS 4-5  1.259e+01  [-268 3.607e-14 1.541e-12 2.486e-04]  [4 -15 74]
 NS 5-1  1.315e+01  [0 1.000e+00 4.893e+01 2.892e-04]  [3 -16 73]
 NS 5-2  1.380e+01  [-70 2.932e-04 1.435e-02 2.562e-04]  [4 -17 76]
 NS 5-3  1.446e+01  [-135 1.598e-07 7.820e-06 1.900e-04]  [4 -17 76]
 NS 5-4  1.509e+01  [-203 6.783e-11 3.319e-09 2.115e-04]  [4 -16 76]
 NS 5-5s 1.562e+01  [-266 4.567e-14 2.235e-12 8.933e-04]  [3 -17 69]
 NS 6-1  1.638e+01  [0 1.000e+00 6.338e+01 6.524e-04]  [2 -15 39]
 NS 6-2  1.705e+01  [-63 6.556e-04 4.155e-02 2.435e-04]  [4 -16 77]
 NS 6-3  1.761e+01  [-121 8.311e-07 5.268e-05 5.799e-04]  [3 -17 73]
 NS 6-4  1.827e+01  [-182 7.149e-10 4.531e-08 2.348e-04]  [4 -17 77]
 NS 6-5  1.884e+01  [-243 6.915e-13 4.383e-11 9.286e-04]  [3 -17 71]
 NS 7-1  1.930e+01  [0 1.000e+00 8.094e+01 6.779e-04]  [2 -15 66]
 NS 7-2  1.993e+01  [-63 6.785e-04 5.492e-02 2.555e-04]  [4 -16 76]
 NS 7-3  2.047e+01  [-118 1.136e-06 9.198e-05 5.159e-04]  [3 -17 72]
 NS 7-4  2.111e+01  [-179 1.098e-09 8.889e-08 1.879e-04]  [4 -17 76]
 NS 7-5  2.168e+01  [-238 1.173e-12 9.495e-11 6.896e-04]  [3 -16 71]
 NS 8-1  2.213e+01  [0 1.000e+00 9.994e+01 3.074e-04]  [2 -18 66]
 NS 8-2  2.278e+01  [-70 3.157e-04 3.155e-02 2.342e-04]  [4 -17 76]
 NS 8-3  2.334e+01  [-126 4.659e-07 4.656e-05 5.570e-04]  [3 -16 72]
 NS 8-4  2.401e+01  [-186 4.871e-10 4.868e-08 1.982e-04]  [4 -17 77]
 NS 8-5  2.457e+01  [-242 7.514e-13 7.510e-11 6.877e-04]  [3 -16 71]
 NS 9-1  2.502e+01  [0 1.000e+00 1.213e+02 3.902e-04]  [2 -17 66]
 NS 9-2  2.568e+01  [-68 3.952e-04 4.795e-02 2.721e-04]  [4 -16 76]
 NS 9-3  2.624e+01  [-122 7.943e-07 9.636e-05 5.900e-04]  [3 -17 73]
 NS 9-4  2.680e+01  [-178 1.234e-09 1.497e-07 6.925e-04]  [3 -18 73]
 NS 9-5  2.737e+01  [-232 2.332e-12 2.829e-10 8.166e-04]  [3 -17 71]
