---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  6.610e-01  [0 1.000e+00 1.000e+00 3.229e-04]  [5 -17 79]
 NS 1-2  1.147e+00  [-64 5.949e-04 5.949e-04 8.044e-04]  [3 -17 72]
 NS 1-3  1.721e+00  [-126 4.829e-07 4.829e-07 2.783e-04]  [4 -17 75]
 NS 1-4  2.286e+00  [-196 1.543e-10 1.543e-10 2.745e-04]  [4 -17 76]
 NS 1-5  2.731e+00  [-248 3.648e-13 3.648e-13 3.548e-04]  [3 -18 67]
 NS 2-1  3.212e+00  [0 1.000e+00 3.640e+01 2.411e-04]  [3 -17 72]
 NS 2-2  3.788e+00  [-72 2.454e-04 8.932e-03 2.433e-04]  [4 -16 76]
 NS 2-3  4.361e+00  [-142 7.216e-08 2.627e-06 2.482e-04]  [4 -17 76]
 NS 2-4  4.938e+00  [-213 2.161e-11 7.865e-10 2.646e-04]  [4 -15 76]
 NS 2-5  5.417e+00  [-282 7.685e-15 2.797e-13 2.928e-04]  [4 -15 70]
 NS 3-1  5.899e+00  [0 1.000e+00 3.535e+01 4.593e-04]  [3 -17 72]
 NS 3-2  6.469e+00  [-66 4.627e-04 1.635e-02 2.080e-04]  [4 -17 76]
 NS 3-3  7.040e+00  [-136 1.430e-07 5.056e-06 2.298e-04]  [4 -18 76]
 NS 3-4  7.607e+00  [-206 4.733e-11 1.673e-09 2.798e-04]  [4 -15 76]
 NS 3-5  8.105e+00  [-272 2.394e-14 8.460e-13 2.329e-04]  [4 -16 71]
 NS 4-1  8.586e+00  [0 1.000e+00 4.278e+01 2.026e-04]  [3 -16 72]
 NS 4-2  9.158e+00  [-73 2.169e-04 9.279e-03 2.874e-04]  [4 -16 76]
 NS 4-3  9.728e+00  [-140 9.626e-08 4.118e-06 2.520e-04]  [4 -18 76]
 NS 4-4  1.021e+01  [-207 4.266e-11 1.825e-09 9.950e-04]  [3 -17 71]
 NS 4-5  1.075e+01  [-266 4.996e-14 2.137e-12 2.787e-04]  [4 -18 73]
 NS 5-1  1.123e+01  [0 1.000e+00 4.925e+01 2.697e-04]  [3 -17 72]
 NS 5-2  1.179e+01  [-71 2.732e-04 1.346e-02 2.290e-04]  [4 -18 76]
 NS 5-3  1.236e+01  [-136 1.528e-07 7.525e-06 1.833e-04]  [4 -17 76]
 NS 5-4  1.292e+01  [-203 6.615e-11 3.258e-09 2.079e-04]  [4 -16 76]
 NS 5-5s 1.347e+01  [-266 4.722e-14 2.326e-12 2.776e-04]  [4 -15 73]
 NS 6-1  1.414e+01  [0 1.000e+00 6.370e+01 6.518e-04]  [2 -15 38]
 NS 6-2  1.472e+01  [-63 6.537e-04 4.164e-02 2.293e-04]  [4 -16 76]
 NS 6-3  1.518e+01  [-121 8.195e-07 5.221e-05 6.624e-04]  [3 -17 70]
 NS 6-4  1.575e+01  [-183 6.946e-10 4.425e-08 2.487e-04]  [4 -17 76]
