---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  1.129e+00  [0 1.000e+00 1.000e+00 2.745e-04]  [5 -17 83]
 NS 1-2  1.997e+00  [-68 3.757e-04 3.757e-04 2.098e-04]  [4 -17 78]
 NS 1-3  2.935e+00  [-140 9.044e-08 9.044e-08 2.641e-04]  [4 -16 79]
 NS 1-4  3.819e+00  [-211 2.636e-11 2.636e-11 2.822e-04]  [4 -15 78]
 NS 1-5  4.531e+00  [-249 3.380e-13 3.380e-13 2.045e-04]  [3 -17 71]
 NS 2-1  5.133e+00  [0 1.000e+00 3.516e+01 9.947e-04]  [2 -16 67]
 NS 2-2  6.070e+00  [-60 9.956e-04 3.501e-02 2.378e-04]  [4 -17 79]
 NS 2-3  7.013e+00  [-131 2.713e-07 9.540e-06 2.082e-04]  [4 -18 80]
 NS 2-4  7.929e+00  [-203 6.396e-11 2.249e-09 2.901e-04]  [4 -16 79]
 NS 2-5s 8.736e+00  [-273 2.126e-14 7.474e-13 2.908e-04]  [4 -16 74]
 NS 3-1  1.006e+01  [0 1.000e+00 3.484e+01 3.914e-04]  [3 -17 61]
 NS 3-2  1.100e+01  [-68 3.925e-04 1.367e-02 2.221e-04]  [4 -17 82]
 NS 3-3  1.203e+01  [-138 1.182e-07 4.120e-06 2.241e-04]  [4 -17 81]
 NS 3-4  1.296e+01  [-209 3.396e-11 1.183e-09 2.679e-04]  [4 -15 79]
 NS 3-5  1.377e+01  [-274 1.900e-14 6.621e-13 9.489e-04]  [3 -16 73]
 NS 4-1  1.435e+01  [0 1.000e+00 4.201e+01 8.744e-04]  [2 -18 66]
 NS 4-2  1.534e+01  [-61 8.744e-04 3.674e-02 2.765e-04]  [4 -18 81]
 NS 4-3  1.628e+01  [-129 3.481e-07 1.463e-05 2.032e-04]  [4 -18 79]
 NS 4-4  1.711e+01  [-198 1.148e-10 4.823e-09 2.114e-04]  [4 -16 76]
 NS 4-5s 1.796e+01  [-266 4.491e-14 1.887e-12 2.646e-04]  [4 -16 77]
 NS 5-1  1.907e+01  [0 1.000e+00 4.913e+01 2.381e-04]  [3 -17 54]
 NS 5-2  2.003e+01  [-72 2.387e-04 1.173e-02 2.387e-04]  [4 -18 79]
 NS 5-3  2.083e+01  [-137 1.381e-07 6.782e-06 8.295e-04]  [3 -17 76]
 NS 5-4  2.182e+01  [-198 1.212e-10 5.954e-09 2.781e-04]  [4 -18 80]
 NS 5-5  2.258e+01  [-260 9.459e-14 4.647e-12 9.362e-04]  [3 -17 75]
 NS 6-1  2.325e+01  [0 1.000e+00 6.324e+01 5.801e-04]  [2 -15 72]
