---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  6.250e-01  [0 1.000e+00 1.000e+00 3.825e-04]  [5 -17 79]
 NS 1-2  1.090e+00  [-64 5.898e-04 5.898e-04 9.740e-04]  [3 -17 71]
 NS 1-3  1.637e+00  [-124 5.768e-07 5.768e-07 2.690e-04]  [4 -18 76]
 NS 1-4  2.168e+00  [-195 1.704e-10 1.704e-10 3.540e-04]  [4 -16 75]
 NS 1-5  2.594e+00  [-249 3.332e-13 3.332e-13 4.808e-04]  [3 -17 67]
 NS 2-1  3.058e+00  [0 1.000e+00 3.546e+01 2.659e-04]  [3 -16 71]
 NS 2-2  3.599e+00  [-71 2.691e-04 9.545e-03 2.597e-04]  [4 -16 76]
 NS 2-3  4.143e+00  [-141 8.326e-08 2.953e-06 3.037e-04]  [4 -18 76]
 NS 2-4  4.674e+00  [-211 2.795e-11 9.914e-10 3.195e-04]  [4 -15 75]
 NS 2-5  5.192e+00  [-279 1.084e-14 3.846e-13 3.304e-04]  [4 -16 73]
 NS 3-1  5.654e+00  [0 1.000e+00 3.472e+01 4.800e-04]  [3 -16 72]
 NS 3-2  6.194e+00  [-66 4.826e-04 1.675e-02 2.508e-04]  [4 -17 76]
 NS 3-3  6.734e+00  [-135 1.594e-07 5.535e-06 2.413e-04]  [4 -18 76]
 NS 3-4  7.269e+00  [-206 4.793e-11 1.664e-09 3.111e-04]  [4 -16 75]
 NS 3-5  7.802e+00  [-272 2.335e-14 8.105e-13 2.643e-04]  [4 -17 73]
 NS 4-1  8.270e+00  [0 1.000e+00 4.184e+01 2.281e-04]  [3 -15 71]
 NS 4-2  8.817e+00  [-72 2.386e-04 9.984e-03 3.146e-04]  [4 -17 76]
 NS 4-3  9.369e+00  [-140 9.921e-08 4.151e-06 2.818e-04]  [4 -18 76]
 NS 4-4  9.899e+00  [-207 4.005e-11 1.676e-09 2.469e-04]  [4 -15 75]
 NS 4-5  1.042e+01  [-273 2.115e-14 8.849e-13 2.396e-04]  [4 -16 73]
 NS 5-1  1.089e+01  [0 1.000e+00 4.859e+01 2.868e-04]  [3 -16 72]
 NS 5-2  1.143e+01  [-70 2.893e-04 1.406e-02 2.423e-04]  [4 -18 76]
 NS 5-3  1.197e+01  [-136 1.513e-07 7.351e-06 2.383e-04]  [4 -17 75]
 NS 5-4  1.252e+01  [-204 6.154e-11 2.990e-09 2.925e-04]  [4 -16 76]
 NS 5-5s 1.307e+01  [-268 3.979e-14 1.933e-12 2.586e-04]  [4 -15 74]
 NS 6-1  1.372e+01  [0 1.000e+00 6.265e+01 6.786e-04]  [2 -14 38]
 NS 6-2  1.427e+01  [-63 6.804e-04 4.263e-02 2.717e-04]  [4 -16 76]
 NS 6-3  1.472e+01  [-121 8.328e-07 5.217e-05 7.473e-04]  [3 -17 71]
 NS 6-4  1.528e+01  [-182 7.187e-10 4.502e-08 2.799e-04]  [4 -16 76]
 NS 6-5  1.584e+01  [-244 5.810e-13 3.640e-11 2.381e-04]  [4 -17 74]
 NS 7-1  1.622e+01  [0 1.000e+00 8.025e+01 6.916e-04]  [2 -15 66]
 NS 7-2  1.676e+01  [-63 6.917e-04 5.551e-02 2.750e-04]  [4 -17 76]
 NS 7-3  1.721e+01  [-119 1.054e-06 8.461e-05 7.224e-04]  [3 -17 70]
 NS 7-4  1.776e+01  [-180 9.818e-10 7.879e-08 2.903e-04]  [4 -17 76]
 NS 7-5  1.832e+01  [-241 8.466e-13 6.794e-11 2.243e-04]  [4 -16 75]
 NS 8-1  1.870e+01  [0 1.000e+00 9.900e+01 3.400e-04]  [2 -17 65]
 NS 8-2  1.925e+01  [-69 3.444e-04 3.409e-02 2.617e-04]  [4 -17 76]
 NS 8-3  1.972e+01  [-127 4.389e-07 4.345e-05 8.061e-04]  [3 -16 72]
 NS 8-4  2.027e+01  [-186 4.587e-10 4.541e-08 2.273e-04]  [4 -17 76]
 NS 8-5  2.075e+01  [-246 4.993e-13 4.943e-11 9.673e-04]  [3 -16 71]
 NS 9-1  2.113e+01  [0 1.000e+00 1.203e+02 4.170e-04]  [2 -16 65]
 NS 9-2  2.168e+01  [-67 4.192e-04 5.041e-02 2.895e-04]  [4 -16 76]
 NS 9-3  2.215e+01  [-122 7.377e-07 8.872e-05 8.777e-04]  [3 -17 72]
 NS 9-4  2.271e+01  [-180 9.835e-10 1.183e-07 2.112e-04]  [4 -18 76]
 NS 9-5  2.326e+01  [-237 1.314e-12 1.581e-10 2.114e-04]  [4 -16 74]
 NS 10-1  2.364e+01  [0 1.000e+00 1.414e+02 3.307e-04]  [2 -17 65]
 NS 10-2  2.419e+01  [-69 3.360e-04 4.752e-02 2.177e-04]  [4 -17 76]
 NS 10-3  2.474e+01  [-126 4.524e-07 6.399e-05 1.985e-04]  [4 -17 76]
 NS 10-4  2.521e+01  [-184 5.885e-10 8.324e-08 9.408e-04]  [3 -16 72]
 NS 10-5s 2.575e+01  [-239 1.016e-12 1.437e-10 2.706e-04]  [4 -18 74]
 NS 11-1  2.640e+01  [0 1.000e+00 1.640e+02 3.512e-04]  [2 -17 38]
 NS 11-2  2.695e+01  [-68 3.567e-04 5.849e-02 2.623e-04]  [4 -16 76]
 NS 11-3  2.741e+01  [-123 6.911e-07 1.133e-04 9.885e-04]  [3 -17 72]
