---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  5.970e-01  [0 1.000e+00 1.000e+00 3.355e-04]  [5 -17 79]
 NS 1-2  1.118e+00  [-65 5.475e-04 5.475e-04 2.172e-04]  [4 -16 76]
 NS 1-3  1.641e+00  [-137 1.312e-07 1.312e-07 2.825e-04]  [4 -17 76]
 NS 1-4  2.144e+00  [-207 4.131e-11 4.131e-11 3.111e-04]  [4 -15 75]
 NS 1-5  2.541e+00  [-249 3.266e-13 3.266e-13 2.589e-04]  [3 -17 66]
 NS 2-1  2.986e+00  [0 1.000e+00 3.657e+01 2.336e-04]  [3 -16 72]
 NS 2-2  3.517e+00  [-72 2.367e-04 8.657e-03 2.704e-04]  [4 -17 76]
 NS 2-3  4.055e+00  [-142 7.721e-08 2.823e-06 2.673e-04]  [4 -17 76]
 NS 2-4  4.552e+00  [-212 2.499e-11 9.138e-10 2.779e-04]  [4 -16 74]
 NS 2-5  5.023e+00  [-280 8.951e-15 3.273e-13 2.752e-04]  [4 -15 71]
 NS 3-1  5.469e+00  [0 1.000e+00 3.595e+01 4.419e-04]  [3 -17 72]
 NS 3-2  5.993e+00  [-67 4.442e-04 1.597e-02 2.369e-04]  [4 -17 76]
 NS 3-3  6.524e+00  [-136 1.446e-07 5.198e-06 2.848e-04]  [4 -17 76]
 NS 3-4  7.016e+00  [-205 5.069e-11 1.822e-09 2.817e-04]  [4 -16 74]
 NS 3-5  7.524e+00  [-272 2.272e-14 8.170e-13 3.003e-04]  [4 -15 73]
 NS 4-1  7.889e+00  [0 1.000e+00 4.319e+01 9.942e-04]  [2 -18 65]
 NS 4-2  8.413e+00  [-60 9.970e-04 4.306e-02 3.059e-04]  [4 -17 76]
 NS 4-3  8.942e+00  [-126 4.547e-07 1.964e-05 3.155e-04]  [4 -17 76]
 NS 4-4  9.458e+00  [-193 2.117e-10 9.143e-09 2.762e-04]  [4 -16 75]
 NS 4-5  9.974e+00  [-259 1.041e-13 4.498e-12 3.160e-04]  [4 -16 74]
 NS 5-1  1.042e+01  [0 1.000e+00 5.084e+01 2.547e-04]  [3 -17 72]
 NS 5-2  1.095e+01  [-71 2.570e-04 1.307e-02 2.358e-04]  [4 -19 76]
 NS 5-3  1.148e+01  [-136 1.417e-07 7.206e-06 2.008e-04]  [4 -16 76]
 NS 5-4  1.200e+01  [-204 5.738e-11 2.918e-09 2.446e-04]  [4 -16 76]
 NS 5-5s 1.252e+01  [-268 3.668e-14 1.865e-12 2.248e-04]  [4 -16 73]
 NS 6-1  1.315e+01  [0 1.000e+00 6.534e+01 6.202e-04]  [2 -15 38]
 NS 6-2  1.368e+01  [-64 6.221e-04 4.065e-02 2.590e-04]  [4 -15 76]
 NS 6-3  1.412e+01  [-122 7.529e-07 4.920e-05 7.138e-04]  [3 -17 71]
 NS 6-4  1.465e+01  [-183 6.501e-10 4.248e-08 2.730e-04]  [4 -17 76]
 NS 6-5  1.517e+01  [-244 6.248e-13 4.083e-11 2.272e-04]  [4 -17 74]
 NS 7-1  1.553e+01  [0 1.000e+00 8.394e+01 6.550e-04]  [2 -15 65]
 NS 7-2  1.606e+01  [-63 6.552e-04 5.499e-02 2.474e-04]  [4 -17 76]
 NS 7-3  1.651e+01  [-120 9.360e-07 7.857e-05 6.130e-04]  [3 -17 72]
 NS 7-4  1.704e+01  [-182 7.872e-10 6.607e-08 2.433e-04]  [4 -17 76]
 NS 7-5  1.750e+01  [-242 7.624e-13 6.400e-11 9.291e-04]  [3 -16 71]
 NS 8-1  1.785e+01  [0 1.000e+00 1.035e+02 3.112e-04]  [2 -18 65]
 NS 8-2  1.838e+01  [-70 3.151e-04 3.261e-02 2.603e-04]  [4 -17 76]
 NS 8-3  1.883e+01  [-127 4.407e-07 4.560e-05 7.116e-04]  [3 -16 72]
 NS 8-4  1.936e+01  [-186 4.556e-10 4.714e-08 2.160e-04]  [4 -17 76]
 NS 8-5  1.980e+01  [-243 6.603e-13 6.833e-11 8.571e-04]  [3 -16 69]
 NS 9-1  2.016e+01  [0 1.000e+00 1.258e+02 3.952e-04]  [2 -17 65]
 NS 9-2  2.068e+01  [-68 3.972e-04 4.995e-02 2.671e-04]  [4 -17 76]
 NS 9-3  2.113e+01  [-123 6.849e-07 8.613e-05 6.947e-04]  [3 -17 72]
 NS 9-4  2.165e+01  [-181 8.116e-10 1.021e-07 2.259e-04]  [4 -17 76]
 NS 9-5  2.211e+01  [-237 1.331e-12 1.674e-10 7.595e-04]  [3 -16 70]
 NS 10-1  2.247e+01  [0 1.000e+00 1.479e+02 3.101e-04]  [2 -18 65]
 NS 10-2  2.299e+01  [-70 3.148e-04 4.656e-02 2.127e-04]  [4 -16 76]
 NS 10-3  2.343e+01  [-126 4.753e-07 7.030e-05 7.119e-04]  [3 -16 71]
 NS 10-4  2.396e+01  [-183 6.888e-10 1.019e-07 2.125e-04]  [4 -18 76]
 NS 10-5s 2.441e+01  [-235 1.672e-12 2.473e-10 6.652e-04]  [3 -16 70]
 NS 11-1  2.502e+01  [0 1.000e+00 1.715e+02 3.318e-04]  [2 -18 37]
 NS 11-2  2.554e+01  [-69 3.367e-04 5.774e-02 2.469e-04]  [4 -16 76]
 NS 11-3  2.599e+01  [-123 6.805e-07 1.167e-04 7.021e-04]  [3 -17 71]
 NS 11-4  2.651e+01  [-179 1.110e-09 1.904e-07 1.927e-04]  [4 -18 76]
 NS 11-5  2.695e+01  [-230 3.022e-12 5.182e-10 6.315e-04]  [3 -16 69]
 NS 12-1  2.731e+01  [0 1.000e+00 1.950e+02 3.106e-04]  [2 -18 65]
 NS 12-2  2.782e+01  [-69 3.178e-04 6.195e-02 2.252e-04]  [4 -16 75]
 NS 12-3  2.827e+01  [-123 6.971e-07 1.359e-04 6.616e-04]  [3 -16 71]
 NS 12-4  2.880e+01  [-177 1.316e-09 2.566e-07 1.794e-04]  [4 -18 76]
 NS 12-5  2.919e+01  [-226 4.601e-12 8.970e-10 5.932e-04]  [3 -16 65]
 NS 13-1  2.955e+01  [0 1.000e+00 2.190e+02 3.130e-04]  [2 -18 65]
 NS 13-2  3.007e+01  [-69 3.216e-04 7.044e-02 2.313e-04]  [4 -16 76]
 NS 13-3  3.051e+01  [-121 8.370e-07 1.833e-04 6.467e-04]  [3 -17 71]
 NS 13-4  3.096e+01  [-174 1.795e-09 3.932e-07 9.808e-04]  [3 -18 71]
 NS 13-5  3.150e+01  [-222 7.443e-12 1.630e-09 2.117e-04]  [4 -16 75]
 NS 14-1  3.186e+01  [0 1.000e+00 2.429e+02 3.063e-04]  [2 -18 65]
 NS 14-2  3.238e+01  [-69 3.174e-04 7.711e-02 2.245e-04]  [4 -16 76]
 NS 14-3  3.282e+01  [-120 9.326e-07 2.266e-04 6.166e-04]  [3 -17 71]
 NS 14-4  3.327e+01  [-172 2.283e-09 5.545e-07 9.159e-04]  [3 -18 72]
 NS 14-5  3.380e+01  [-219 1.114e-11 2.707e-09 2.044e-04]  [4 -16 74]
 NS 15-1  3.416e+01  [0 1.000e+00 2.670e+02 3.055e-04]  [2 -18 65]
 NS 15-2  3.468e+01  [-69 3.190e-04 8.517e-02 2.239e-04]  [4 -16 75]
 NS 15-3  3.512e+01  [-119 1.068e-06 2.851e-04 6.013e-04]  [3 -17 72]
 NS 15-4  3.557e+01  [-170 2.948e-09 7.872e-07 8.716e-04]  [3 -17 72]
 NS 15-5s 3.603e+01  [-215 1.643e-11 4.388e-09 9.898e-04]  [3 -16 70]
 NS 16-1  3.664e+01  [0 1.000e+00 2.908e+02 3.030e-04]  [2 -18 38]
