---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  1.092e+00  [0 1.000e+00 1.000e+00 2.898e-04]  [5 -17 82]
 NS 1-2  1.885e+00  [-66 4.795e-04 4.795e-04 9.083e-04]  [3 -17 75]
 NS 1-3  2.818e+00  [-127 4.413e-07 4.413e-07 2.456e-04]  [4 -19 79]
 NS 1-4  3.701e+00  [-198 1.208e-10 1.208e-10 2.788e-04]  [4 -15 78]
 NS 1-5  4.489e+00  [-248 3.804e-13 3.804e-13 3.130e-04]  [3 -18 73]
 NS 2-1  5.159e+00  [0 1.000e+00 3.679e+01 9.695e-04]  [2 -17 71]
 NS 2-2  6.106e+00  [-60 9.708e-04 3.571e-02 2.388e-04]  [4 -17 79]
 NS 2-3  7.079e+00  [-131 2.758e-07 1.015e-05 2.099e-04]  [4 -17 79]
 NS 2-4  8.020e+00  [-203 6.645e-11 2.445e-09 2.725e-04]  [4 -15 79]
 NS 2-5s 8.899e+00  [-273 2.041e-14 7.510e-13 2.973e-04]  [4 -16 76]
 NS 3-1  1.008e+01  [0 1.000e+00 3.617e+01 3.874e-04]  [3 -17 52]
 NS 3-2  1.100e+01  [-68 3.896e-04 1.409e-02 2.174e-04]  [4 -17 80]
 NS 3-3  1.198e+01  [-138 1.197e-07 4.330e-06 2.423e-04]  [4 -16 79]
 NS 3-4  1.291e+01  [-208 3.670e-11 1.327e-09 2.988e-04]  [4 -15 78]
 NS 3-5  1.378e+01  [-273 2.019e-14 7.303e-13 2.365e-04]  [4 -16 76]
 NS 4-1  1.443e+01  [0 1.000e+00 4.412e+01 8.603e-04]  [2 -19 70]
 NS 4-2  1.538e+01  [-61 8.609e-04 3.799e-02 2.668e-04]  [4 -18 79]
 NS 4-3  1.633e+01  [-128 3.579e-07 1.579e-05 1.854e-04]  [4 -18 79]
 NS 4-4  1.723e+01  [-199 1.099e-10 4.850e-09 2.108e-04]  [4 -16 78]
 NS 4-5s 1.814e+01  [-267 4.368e-14 1.927e-12 2.391e-04]  [4 -16 78]
 NS 5-1  1.927e+01  [0 1.000e+00 4.972e+01 2.429e-04]  [3 -17 52]
 NS 5-2  2.020e+01  [-72 2.446e-04 1.216e-02 2.372e-04]  [4 -18 79]
 NS 5-3  2.102e+01  [-136 1.428e-07 7.101e-06 9.179e-04]  [3 -17 75]
 NS 5-4  2.197e+01  [-197 1.382e-10 6.872e-09 2.749e-04]  [4 -17 79]
 NS 5-5  2.275e+01  [-259 1.028e-13 5.109e-12 8.918e-04]  [3 -17 73]
 NS 6-1  2.340e+01  [0 1.000e+00 6.465e+01 6.080e-04]  [2 -15 69]
 NS 6-2  2.434e+01  [-64 6.109e-04 3.949e-02 2.585e-04]  [4 -16 79]
 NS 6-3  2.509e+01  [-122 7.335e-07 4.742e-05 5.867e-04]  [3 -18 75]
 NS 6-4  2.604e+01  [-185 5.430e-10 3.511e-08 2.470e-04]  [4 -17 79]
 NS 6-5s 2.687e+01  [-244 5.927e-13 3.832e-11 6.655e-04]  [3 -16 75]
 NS 7-1  2.791e+01  [0 1.000e+00 8.179e+01 6.622e-04]  [2 -15 47]
 NS 7-2  2.900e+01  [-63 6.622e-04 5.416e-02 2.409e-04]  [4 -17 76]
 NS 7-3  2.976e+01  [-120 9.192e-07 7.518e-05 5.512e-04]  [3 -17 74]
 NS 7-4  3.072e+01  [-182 7.619e-10 6.231e-08 2.036e-04]  [4 -18 79]
 NS 7-5  3.153e+01  [-241 8.517e-13 6.966e-11 5.649e-04]  [3 -16 74]
 NS 8-1  3.217e+01  [0 1.000e+00 1.013e+02 3.084e-04]  [2 -18 71]
 NS 8-2  3.310e+01  [-70 3.116e-04 3.158e-02 2.432e-04]  [4 -17 79]
 NS 8-3  3.388e+01  [-126 4.550e-07 4.610e-05 5.509e-04]  [3 -16 75]
 NS 8-4  3.485e+01  [-187 4.351e-10 4.409e-08 1.964e-04]  [4 -17 80]
 NS 8-5s 3.569e+01  [-244 6.224e-13 6.307e-11 5.981e-04]  [3 -16 74]
 NS 9-1  3.667e+01  [0 1.000e+00 1.227e+02 3.938e-04]  [2 -17 44]
 NS 9-2  3.761e+01  [-68 3.950e-04 4.847e-02 2.499e-04]  [4 -17 78]
 NS 9-3  3.841e+01  [-123 6.716e-07 8.241e-05 6.029e-04]  [3 -17 75]
 NS 9-4  3.915e+01  [-182 7.770e-10 9.534e-08 8.733e-04]  [3 -17 73]
 NS 9-5  4.012e+01  [-237 1.347e-12 1.653e-10 1.855e-04]  [4 -17 78]
 NS 10-1  4.073e+01  [0 1.000e+00 1.445e+02 3.067e-04]  [2 -18 67]
 NS 10-2  4.167e+01  [-70 3.101e-04 4.482e-02 1.978e-04]  [4 -17 78]
 NS 10-3  4.249e+01  [-126 4.684e-07 6.770e-05 5.753e-04]  [3 -17 76]
 NS 10-4  4.323e+01  [-183 6.475e-10 9.358e-08 8.830e-04]  [3 -18 74]
 NS 10-5s 4.399e+01  [-237 1.288e-12 1.861e-10 9.895e-04]  [3 -17 71]
 NS 11-1  4.495e+01  [0 1.000e+00 1.674e+02 3.289e-04]  [2 -18 45]
 NS 11-2  4.590e+01  [-69 3.322e-04 5.562e-02 2.246e-04]  [4 -17 79]
 NS 11-3  4.667e+01  [-123 6.663e-07 1.116e-04 6.160e-04]  [3 -17 76]
 NS 11-4  4.749e+01  [-179 1.068e-09 1.788e-07 7.725e-04]  [3 -18 76]
 NS 11-5  4.830e+01  [-232 2.259e-12 3.783e-10 8.388e-04]  [3 -17 75]
 NS 12-1  4.892e+01  [0 1.000e+00 1.904e+02 3.075e-04]  [2 -18 68]
 NS 12-2  4.971e+01  [-70 3.125e-04 5.949e-02 2.079e-04]  [4 -17 74]
 NS 12-3  5.034e+01  [-123 6.828e-07 1.300e-04 5.799e-04]  [3 -17 72]
 NS 12-4  5.097e+01  [-178 1.256e-09 2.391e-07 7.208e-04]  [3 -19 72]
 NS 12-5s 5.168e+01  [-230 3.056e-12 5.818e-10 7.084e-04]  [3 -17 72]
 NS 13-1  5.256e+01  [0 1.000e+00 2.138e+02 3.098e-04]  [2 -18 43]
 NS 13-2  5.330e+01  [-70 3.157e-04 6.750e-02 2.135e-04]  [4 -17 74]
 NS 13-3  5.401e+01  [-121 8.221e-07 1.758e-04 5.932e-04]  [3 -17 73]
 NS 13-4  5.473e+01  [-175 1.724e-09 3.686e-07 6.699e-04]  [3 -19 73]
 NS 13-5  5.542e+01  [-226 4.656e-12 9.954e-10 6.531e-04]  [3 -17 72]
 NS 14-1  5.596e+01  [0 1.000e+00 2.372e+02 3.032e-04]  [2 -18 66]
 NS 14-2  5.675e+01  [-70 3.107e-04 7.369e-02 2.087e-04]  [4 -17 76]
 NS 14-3  5.743e+01  [-120 9.199e-07 2.182e-04 5.747e-04]  [3 -17 72]
